Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,59.0 °F,54.0 °F,83%,29.99 in,10.0 mi,WNW,5.8 mph,  -,0.00 in,	 ,Mostly Cloudy
1:52 AM,59.0 °F,53.1 °F,81%,29.99 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,57.0 °F,52.0 °F,83%,30.00 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,55.9 °F,51.1 °F,84%,29.99 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,55.0 °F,50.0 °F,83%,29.99 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,54.0 °F,48.9 °F,83%,29.98 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,54.0 °F,48.9 °F,83%,30.00 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,54.0 °F,48.9 °F,83%,30.01 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,55.0 °F,48.9 °F,80%,30.03 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,57.9 °F,50.0 °F,75%,30.05 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,60.1 °F,50.0 °F,69%,30.07 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,62.1 °F,50.0 °F,65%,30.07 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,64.9 °F,51.1 °F,61%,30.07 in,10.0 mi,NW,15.0 mph,21.9 mph,N/A,	 ,Mostly Cloudy
1:52 PM,66.9 °F,50.0 °F,54%,30.06 in,10.0 mi,NNW,16.1 mph,26.5 mph,N/A,	 ,Mostly Cloudy
2:52 PM,66.0 °F,48.9 °F,54%,30.05 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,64.9 °F,48.9 °F,56%,30.04 in,10.0 mi,NW,16.1 mph,21.9 mph,N/A,	 ,Mostly Cloudy
4:52 PM,64.0 °F,46.9 °F,54%,30.05 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,60.1 °F,45.0 °F,57%,30.06 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,59.0 °F,46.0 °F,62%,30.05 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,57.9 °F,44.1 °F,60%,30.07 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Overcast
8:52 PM,55.9 °F,44.1 °F,64%,30.08 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,55.0 °F,43.0 °F,64%,30.09 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Overcast
10:52 PM,53.1 °F,42.1 °F,66%,30.09 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,53.1 °F,42.1 °F,66%,30.07 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Overcast
