Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,48.0 °F,36.0 °F,63%,30.26 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1:52 AM,50.0 °F,36.0 °F,59%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
2:52 AM,46.0 °F,36.0 °F,68%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
3:52 AM,45.0 °F,37.0 °F,74%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
4:52 AM,44.1 °F,36.0 °F,73%,30.28 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
5:52 AM,42.1 °F,36.0 °F,79%,30.30 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
6:52 AM,42.8 °F,35.6 °F,76%,30.31 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:52 AM,44.1 °F,37.0 °F,76%,30.34 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
8:52 AM,54.0 °F,42.1 °F,64%,30.35 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
9:52 AM,62.1 °F,37.0 °F,39%,30.36 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
10:52 AM,66.0 °F,36.0 °F,33%,30.36 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
11:52 AM,66.0 °F,34.0 °F,30%,30.34 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Clear
12:52 PM,69.1 °F,37.0 °F,31%,30.32 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
1:52 PM,69.1 °F,36.0 °F,30%,30.30 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Clear
2:52 PM,69.1 °F,33.1 °F,26%,30.28 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Clear
3:52 PM,69.1 °F,34.0 °F,27%,30.28 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Clear
4:52 PM,68.0 °F,36.0 °F,31%,30.28 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Clear
5:52 PM,64.9 °F,37.0 °F,36%,30.28 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Clear
6:52 PM,62.1 °F,37.0 °F,39%,30.31 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Clear
7:52 PM,60.1 °F,37.9 °F,44%,30.32 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,57.9 °F,39.0 °F,49%,30.32 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,55.9 °F,37.9 °F,51%,30.33 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Clear
10:52 PM,55.9 °F,37.0 °F,49%,30.33 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Clear
11:52 PM,53.1 °F,37.0 °F,55%,30.33 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Clear
