Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,45.0 °F,40.1 °F,37.9 °F,76%,30.31 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,43.0 °F,37.2 °F,37.9 °F,82%,30.30 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,44.1 °F,37.7 °F,37.0 °F,76%,30.31 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,44.1 °F,37.1 °F,35.1 °F,71%,30.31 in,10.0 mi,ENE,15.0 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,43.0 °F,35.7 °F,32.0 °F,65%,30.32 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,42.1 °F,34.9 °F,30.9 °F,65%,30.34 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,42.1 °F,35.2 °F,30.0 °F,62%,30.35 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,42.1 °F,34.2 °F,32.0 °F,67%,30.38 in,10.0 mi,East,16.1 mph,21.9 mph,N/A,	 ,Mostly Cloudy
8:52 AM,44.1 °F,36.5 °F,30.9 °F,60%,30.39 in,10.0 mi,ENE,17.3 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,46.9 °F,  -,30.9 °F,54%,30.39 in,10.0 mi,ENE,17.3 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,48.0 °F,  -,30.9 °F,52%,30.38 in,10.0 mi,East,17.3 mph,  -,N/A,	 ,Mostly Cloudy
11:32 AM,50.0 °F,  -,30.2 °F,47%,30.34 in,10.0 mi,ENE,16.1 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,50.0 °F,  -,30.9 °F,48%,30.34 in,10.0 mi,East,15.0 mph,26.5 mph,N/A,	 ,Mostly Cloudy
12:52 PM,50.0 °F,  -,32.0 °F,50%,30.32 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
1:52 PM,51.1 °F,  -,33.1 °F,50%,30.30 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
2:52 PM,51.1 °F,  -,32.0 °F,48%,30.29 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
3:52 PM,51.1 °F,  -,32.0 °F,48%,30.28 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Overcast
4:52 PM,50.0 °F,  -,32.0 °F,50%,30.29 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Overcast
5:52 PM,50.0 °F,  -,32.0 °F,50%,30.29 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Overcast
6:52 PM,50.0 °F,  -,34.0 °F,54%,30.30 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
7:52 PM,50.0 °F,  -,34.0 °F,54%,30.31 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Overcast
8:52 PM,46.9 °F,  -,36.0 °F,66%,30.31 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Overcast
9:52 PM,46.0 °F,42.5 °F,39.0 °F,76%,30.32 in,8.0 mi,East,6.9 mph,  -,0.00 in,Rain,Light Rain
10:05 PM,44.6 °F,40.2 °F,39.2 °F,81%,30.30 in,5.0 mi,ENE,8.1 mph,  -,0.03 in,Rain,Light Rain
10:43 PM,44.6 °F,39.7 °F,41.0 °F,87%,30.30 in,7.0 mi,East,9.2 mph,  -,0.07 in,Rain,Light Rain
10:52 PM,45.0 °F,39.3 °F,39.9 °F,82%,30.30 in,8.0 mi,East,11.5 mph,  -,0.08 in,Rain,Light Rain
11:52 PM,44.1 °F,39.5 °F,41.0 °F,89%,30.29 in,10.0 mi,NE,8.1 mph,  -,0.00 in,	 ,Overcast
