Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,46.9 °F,  -,28.0 °F,48%,29.91 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,46.0 °F,41.9 °F,28.0 °F,50%,29.91 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,44.1 °F,40.1 °F,28.0 °F,53%,29.91 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,42.1 °F,37.7 °F,27.0 °F,55%,29.91 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,41.0 °F,35.8 °F,26.1 °F,55%,29.92 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,39.9 °F,35.1 °F,25.0 °F,55%,29.92 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,39.0 °F,33.4 °F,25.0 °F,57%,29.94 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
7:52 AM,37.0 °F,31.0 °F,25.0 °F,62%,29.96 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,42.1 °F,36.1 °F,24.1 °F,49%,29.98 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Clear
9:52 AM,46.0 °F,40.2 °F,24.1 °F,42%,30.00 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Clear
10:52 AM,50.0 °F,  -,21.9 °F,33%,30.01 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,54.0 °F,  -,18.0 °F,24%,30.01 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Clear
12:52 PM,57.9 °F,  -,15.1 °F,19%,29.99 in,10.0 mi,WNW,15.0 mph,23.0 mph,N/A,	 ,Partly Cloudy
1:52 PM,60.1 °F,  -,14.0 °F,16%,29.97 in,10.0 mi,NW,13.8 mph,23.0 mph,N/A,	 ,Partly Cloudy
2:52 PM,62.1 °F,  -,16.0 °F,17%,29.95 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,64.0 °F,  -,16.0 °F,16%,29.94 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Clear
4:52 PM,63.0 °F,  -,16.0 °F,16%,29.93 in,10.0 mi,WNW,13.8 mph,21.9 mph,N/A,	 ,Clear
5:52 PM,62.1 °F,  -,17.1 °F,18%,29.95 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
6:52 PM,55.9 °F,  -,16.0 °F,21%,29.96 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
7:52 PM,53.1 °F,  -,17.1 °F,24%,29.98 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Clear
8:52 PM,53.1 °F,  -,18.0 °F,25%,29.99 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
9:52 PM,51.1 °F,  -,19.9 °F,29%,29.99 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Clear
10:52 PM,51.1 °F,  -,19.9 °F,29%,29.99 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
11:52 PM,51.1 °F,  -,21.0 °F,31%,30.00 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Clear
