Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,57.2 °F,46.4 °F,67%,30.03 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,55.0 °F,45.0 °F,69%,30.02 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
2:52 AM,54.0 °F,44.1 °F,69%,30.02 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Clear
3:52 AM,53.1 °F,42.1 °F,66%,30.02 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
4:52 AM,53.1 °F,39.9 °F,61%,30.02 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Clear
5:52 AM,52.0 °F,37.9 °F,59%,30.04 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Clear
6:52 AM,50.0 °F,37.9 °F,63%,30.06 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Clear
7:52 AM,51.1 °F,37.0 °F,59%,30.07 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
8:52 AM,52.0 °F,39.9 °F,63%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
9:52 AM,57.9 °F,37.9 °F,47%,30.12 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Clear
10:52 AM,64.0 °F,39.0 °F,40%,30.12 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,70.0 °F,39.0 °F,32%,30.11 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Clear
12:52 PM,73.0 °F,44.1 °F,35%,30.09 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Clear
1:52 PM,78.1 °F,50.0 °F,37%,30.06 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
2:52 PM,78.1 °F,50.0 °F,37%,30.04 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,79.0 °F,51.1 °F,38%,30.02 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:52 PM,79.0 °F,51.1 °F,38%,30.01 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,79.0 °F,51.1 °F,38%,30.00 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,73.9 °F,51.1 °F,45%,30.01 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,72.0 °F,50.0 °F,46%,30.01 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
8:52 PM,71.1 °F,48.9 °F,45%,30.02 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
9:52 PM,66.0 °F,48.9 °F,54%,30.02 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Clear
10:52 PM,64.9 °F,50.0 °F,58%,30.02 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
11:52 PM,64.9 °F,51.1 °F,61%,30.02 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
