Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:27 AM,33.8 °F,23.5 °F,26.6 °F,75%,30.22 in,10.0 mi,WNW,16.1 mph,23.0 mph,N/A,	 ,Overcast
12:52 AM,34.0 °F,24.2 °F,26.1 °F,73%,30.24 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,33.1 °F,22.6 °F,25.0 °F,72%,30.25 in,10.0 mi,NW,16.1 mph,23.0 mph,N/A,	 ,Scattered Clouds
2:29 AM,33.8 °F,23.5 °F,24.8 °F,70%,30.23 in,10.0 mi,NW,16.1 mph,21.9 mph,N/A,	 ,Mostly Cloudy
2:52 AM,33.1 °F,21.5 °F,24.1 °F,70%,30.27 in,10.0 mi,NNW,19.6 mph,31.1 mph,N/A,	 ,Mostly Cloudy
3:20 AM,33.8 °F,23.2 °F,23.0 °F,65%,30.26 in,10.0 mi,NW,17.3 mph,25.3 mph,N/A,	 ,Scattered Clouds
3:52 AM,32.0 °F,21.6 °F,21.9 °F,66%,30.29 in,10.0 mi,NNW,15.0 mph,25.3 mph,N/A,	 ,Partly Cloudy
4:52 AM,30.9 °F,22.2 °F,23.0 °F,72%,30.30 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,30.9 °F,20.2 °F,21.9 °F,69%,30.31 in,10.0 mi,NNW,15.0 mph,20.7 mph,N/A,	 ,Partly Cloudy
6:52 AM,30.0 °F,20.0 °F,21.9 °F,72%,30.35 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Clear
7:52 AM,30.0 °F,20.5 °F,21.9 °F,72%,30.36 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
8:52 AM,30.9 °F,22.2 °F,21.0 °F,67%,30.40 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
9:52 AM,33.1 °F,23.9 °F,21.0 °F,61%,30.43 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,37.0 °F,29.8 °F,21.0 °F,52%,30.45 in,10.0 mi,NNW,10.4 mph,19.6 mph,N/A,	 ,Clear
11:52 AM,39.0 °F,33.4 °F,21.9 °F,50%,30.45 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,42.1 °F,36.1 °F,21.9 °F,45%,30.43 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,45.0 °F,39.7 °F,21.9 °F,40%,30.40 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,46.0 °F,41.4 °F,21.0 °F,37%,30.39 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,46.0 °F,41.4 °F,19.9 °F,35%,30.38 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,45.0 °F,41.8 °F,19.9 °F,37%,30.40 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,41.0 °F,38.0 °F,21.0 °F,45%,30.42 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,39.0 °F,33.4 °F,21.9 °F,50%,30.42 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,36.0 °F,31.1 °F,21.9 °F,57%,30.43 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,36.0 °F,33.3 °F,21.9 °F,57%,30.42 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,37.0 °F,32.4 °F,21.9 °F,54%,30.40 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,33.1 °F,26.9 °F,23.0 °F,66%,30.42 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,34.0 °F,  -,23.0 °F,64%,30.40 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
