Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,34.0 °F,  -,21.9 °F,61%,30.38 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
1:52 AM,30.9 °F,  -,23.0 °F,72%,30.38 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 AM,33.1 °F,30.0 °F,23.0 °F,66%,30.38 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,32.0 °F,27.5 °F,25.0 °F,75%,30.40 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,35.1 °F,  -,24.1 °F,64%,30.39 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
5:52 AM,34.0 °F,  -,26.1 °F,73%,30.39 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
6:52 AM,35.1 °F,32.2 °F,25.0 °F,67%,30.40 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,34.0 °F,  -,25.0 °F,70%,30.39 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
8:52 AM,36.0 °F,  -,28.9 °F,76%,30.39 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
9:52 AM,41.0 °F,  -,26.1 °F,55%,30.40 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
10:52 AM,46.0 °F,40.6 °F,26.1 °F,46%,30.39 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,48.9 °F,  -,26.1 °F,41%,30.34 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,51.1 °F,  -,26.1 °F,38%,30.32 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,52.0 °F,  -,25.0 °F,35%,30.28 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,52.0 °F,  -,25.0 °F,35%,30.25 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,52.0 °F,  -,26.1 °F,37%,30.25 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Overcast
4:52 PM,52.0 °F,  -,26.1 °F,37%,30.25 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Overcast
5:52 PM,51.1 °F,  -,28.0 °F,41%,30.24 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Overcast
6:52 PM,50.0 °F,  -,28.9 °F,44%,30.24 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Overcast
7:52 PM,50.0 °F,  -,30.0 °F,46%,30.23 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Overcast
8:52 PM,48.9 °F,  -,30.9 °F,50%,30.21 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Overcast
9:52 PM,48.9 °F,  -,32.0 °F,52%,30.19 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
10:52 PM,50.0 °F,  -,34.0 °F,54%,30.18 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Overcast
11:52 PM,48.9 °F,  -,35.1 °F,59%,30.15 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
