Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,60.1 °F,57.9 °F,93%,30.03 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:52 AM,60.1 °F,57.0 °F,90%,30.03 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:44 AM,57.2 °F,55.4 °F,94%,30.04 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 AM,57.9 °F,55.9 °F,93%,30.03 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:04 AM,59.0 °F,57.2 °F,94%,30.04 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:22 AM,57.2 °F,57.2 °F,100%,30.04 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
3:44 AM,57.2 °F,57.2 °F,100%,30.04 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
3:52 AM,57.9 °F,57.0 °F,97%,30.03 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
4:00 AM,59.0 °F,57.2 °F,94%,30.04 in,7.0 mi,SSW,3.5 mph,  -,N/A,	 ,Overcast
4:52 AM,59.0 °F,57.0 °F,93%,30.03 in,6.0 mi,SW,3.5 mph,  -,N/A,	 ,Overcast
5:10 AM,59.0 °F,57.2 °F,94%,30.04 in,4.0 mi,SSW,3.5 mph,  -,N/A,	 ,Overcast
5:45 AM,59.0 °F,57.2 °F,94%,30.05 in,0.2 mi,WSW,4.6 mph,  -,N/A,	 ,Overcast
5:52 AM,59.0 °F,57.9 °F,96%,30.05 in,0.2 mi,WSW,3.5 mph,  -,N/A,	 ,Overcast
6:52 AM,59.0 °F,57.9 °F,96%,30.07 in,0.2 mi,SSW,4.6 mph,  -,N/A,	 ,Overcast
7:36 AM,59.0 °F,57.2 °F,94%,30.09 in,2.0 mi,SSW,5.8 mph,  -,N/A,	 ,Overcast
7:52 AM,59.0 °F,57.9 °F,96%,30.08 in,0.2 mi,South,4.6 mph,  -,N/A,	 ,Overcast
8:17 AM,60.8 °F,59.0 °F,94%,30.09 in,0.2 mi,South,4.6 mph,  -,N/A,	 ,Overcast
8:52 AM,60.1 °F,59.0 °F,96%,30.09 in,0.5 mi,South,3.5 mph,  -,N/A,	 ,Overcast
9:10 AM,60.8 °F,59.0 °F,94%,30.09 in,3.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:16 AM,60.8 °F,59.0 °F,94%,30.10 in,3.0 mi,South,6.9 mph,  -,N/A,	 ,Overcast
9:26 AM,60.8 °F,59.0 °F,94%,30.10 in,6.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:37 AM,60.8 °F,60.8 °F,100%,30.10 in,7.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,62.1 °F,59.0 °F,90%,30.09 in,7.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:02 AM,62.6 °F,59.0 °F,88%,30.10 in,7.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:11 AM,62.6 °F,59.0 °F,88%,30.10 in,7.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:24 AM,62.6 °F,59.0 °F,88%,30.10 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:38 AM,64.4 °F,60.8 °F,88%,30.09 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,64.9 °F,59.0 °F,81%,30.09 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
10:55 AM,64.4 °F,57.2 °F,77%,30.09 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
11:11 AM,64.4 °F,57.2 °F,77%,30.09 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
11:47 AM,66.2 °F,57.2 °F,73%,30.08 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,66.0 °F,57.9 °F,75%,30.07 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
