Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,28.9 °F,20.4 °F,15.1 °F,56%,30.24 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
1:52 AM,28.9 °F,21.9 °F,15.1 °F,56%,30.25 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
2:52 AM,28.9 °F,23.9 °F,15.1 °F,56%,30.22 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Clear
3:52 AM,28.0 °F,20.0 °F,15.1 °F,58%,30.23 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
4:52 AM,28.0 °F,19.3 °F,15.1 °F,58%,30.25 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
5:52 AM,27.0 °F,19.5 °F,15.1 °F,61%,30.26 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
6:52 AM,27.0 °F,19.5 °F,14.0 °F,58%,30.26 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
7:52 AM,27.0 °F,19.5 °F,14.0 °F,58%,30.29 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
8:52 AM,32.0 °F,23.6 °F,15.1 °F,50%,30.31 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Clear
9:52 AM,36.0 °F,29.0 °F,14.0 °F,41%,30.32 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
10:52 AM,39.9 °F,33.4 °F,12.9 °F,33%,30.32 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Clear
11:52 AM,44.1 °F,38.6 °F,12.0 °F,27%,30.29 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Clear
12:52 PM,48.0 °F,  -,12.9 °F,24%,30.24 in,10.0 mi,West,12.7 mph,18.4 mph,N/A,	 ,Clear
1:52 PM,50.0 °F,  -,14.0 °F,24%,30.20 in,10.0 mi,WSW,12.7 mph,  -,N/A,	 ,Clear
2:52 PM,52.0 °F,  -,15.1 °F,23%,30.18 in,10.0 mi,WSW,15.0 mph,21.9 mph,N/A,	 ,Clear
3:52 PM,52.0 °F,  -,16.0 °F,24%,30.17 in,10.0 mi,WSW,11.5 mph,20.7 mph,N/A,	 ,Clear
4:52 PM,50.0 °F,  -,16.0 °F,26%,30.15 in,10.0 mi,SSW,16.1 mph,23.0 mph,N/A,	 ,Partly Cloudy
5:52 PM,48.0 °F,  -,16.0 °F,28%,30.16 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Clear
6:52 PM,46.0 °F,40.2 °F,17.1 °F,31%,30.17 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Clear
7:52 PM,45.0 °F,39.7 °F,17.1 °F,33%,30.18 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,43.0 °F,37.7 °F,17.1 °F,35%,30.18 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,44.6 °F,38.8 °F,17.6 °F,34%,30.16 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,44.6 °F,38.1 °F,17.6 °F,34%,30.18 in,10.0 mi,WSW,13.8 mph,20.7 mph,N/A,	 ,Clear
11:52 PM,43.0 °F,36.8 °F,18.0 °F,37%,30.21 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Clear
