Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,46.0 °F,44.8 °F,18.0 °F,33%,30.37 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,43.0 °F,  -,21.0 °F,42%,30.38 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
2:52 AM,42.1 °F,  -,21.0 °F,43%,30.37 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:52 AM,41.0 °F,  -,21.9 °F,47%,30.36 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:52 AM,42.1 °F,  -,21.0 °F,43%,30.36 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:52 AM,39.9 °F,  -,21.0 °F,47%,30.38 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
6:52 AM,39.9 °F,  -,24.1 °F,53%,30.39 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
7:52 AM,41.0 °F,38.0 °F,23.0 °F,49%,30.40 in,9.0 mi,SSE,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,45.0 °F,  -,25.0 °F,46%,30.40 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
9:52 AM,51.1 °F,  -,25.0 °F,36%,30.40 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
10:52 AM,55.9 °F,  -,27.0 °F,33%,30.40 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,59.0 °F,  -,26.1 °F,28%,30.39 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,62.1 °F,  -,21.0 °F,21%,30.35 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,64.0 °F,  -,21.0 °F,19%,30.32 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,64.9 °F,  -,23.0 °F,20%,30.30 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,64.0 °F,  -,21.0 °F,19%,30.29 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,63.0 °F,  -,24.1 °F,23%,30.29 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,62.1 °F,  -,30.0 °F,30%,30.28 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,60.1 °F,  -,33.1 °F,36%,30.29 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,57.0 °F,  -,35.1 °F,44%,30.29 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,55.9 °F,  -,35.1 °F,45%,30.29 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,55.0 °F,  -,34.0 °F,45%,30.30 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,53.1 °F,  -,35.1 °F,50%,30.29 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,52.0 °F,  -,35.1 °F,53%,30.28 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
