Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,50.0 °F,37.0 °F,61%,30.06 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Overcast
1:52 AM,50.0 °F,39.0 °F,66%,30.05 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,52.0 °F,42.1 °F,69%,30.06 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,53.1 °F,44.1 °F,71%,30.05 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,53.1 °F,45.0 °F,74%,30.04 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
5:52 AM,54.0 °F,48.0 °F,80%,30.05 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
6:52 AM,53.6 °F,48.2 °F,82%,30.05 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,53.1 °F,48.9 °F,86%,30.07 in,8.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,54.0 °F,51.1 °F,90%,30.08 in,8.0 mi,SW,5.8 mph,  -,0.00 in,	 ,Mostly Cloudy
9:45 AM,55.4 °F,51.8 °F,88%,30.10 in,9.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,57.0 °F,52.0 °F,83%,30.10 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Scattered Clouds
10:43 AM,60.8 °F,53.6 °F,77%,30.12 in,10.0 mi,WSW,8.1 mph,17.3 mph,N/A,	 ,Mostly Cloudy
10:52 AM,61.0 °F,52.0 °F,72%,30.12 in,10.0 mi,West,11.5 mph,19.6 mph,N/A,	 ,Mostly Cloudy
11:18 AM,62.6 °F,53.6 °F,72%,30.11 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,64.9 °F,52.0 °F,63%,30.09 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Scattered Clouds
12:19 PM,62.6 °F,51.8 °F,68%,30.09 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Mostly Cloudy
12:44 PM,64.4 °F,51.8 °F,64%,30.09 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Overcast
12:52 PM,66.0 °F,53.1 °F,63%,30.08 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Overcast
1:52 PM,68.0 °F,51.1 °F,55%,30.06 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,66.9 °F,51.1 °F,57%,30.05 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,64.9 °F,51.1 °F,61%,30.06 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,64.9 °F,50.0 °F,58%,30.06 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,62.1 °F,52.0 °F,70%,30.07 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,59.0 °F,50.0 °F,72%,30.10 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,59.0 °F,50.0 °F,72%,30.12 in,10.0 mi,North,16.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,57.2 °F,48.2 °F,72%,30.12 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,55.9 °F,48.0 °F,75%,30.12 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
10:52 PM,53.1 °F,46.9 °F,80%,30.13 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
11:52 PM,52.0 °F,46.9 °F,83%,30.13 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
