Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,48.0 °F,  -,25.0 °F,41%,30.32 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,45.0 °F,41.8 °F,26.1 °F,48%,30.32 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,46.0 °F,43.9 °F,26.1 °F,46%,30.31 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,43.0 °F,41.3 °F,26.1 °F,51%,30.32 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,44.1 °F,40.8 °F,26.1 °F,49%,30.33 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,44.1 °F,42.5 °F,26.1 °F,49%,30.35 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,45.0 °F,41.2 °F,25.0 °F,46%,30.37 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,46.0 °F,41.4 °F,26.1 °F,46%,30.39 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,48.9 °F,  -,27.0 °F,43%,30.41 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,53.1 °F,  -,27.0 °F,37%,30.43 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,57.0 °F,  -,26.1 °F,30%,30.44 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,60.1 °F,  -,28.0 °F,30%,30.43 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,62.1 °F,  -,27.0 °F,26%,30.41 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,63.0 °F,  -,28.0 °F,27%,30.38 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,64.9 °F,  -,28.0 °F,25%,30.36 in,10.0 mi,NE,12.7 mph,17.3 mph,N/A,	 ,Partly Cloudy
3:52 PM,64.9 °F,  -,26.1 °F,23%,30.34 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,64.4 °F,  -,26.6 °F,24%,30.33 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,63.0 °F,  -,26.1 °F,25%,30.34 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,59.0 °F,  -,28.4 °F,31%,30.34 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,57.0 °F,  -,28.0 °F,33%,30.36 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,53.1 °F,  -,28.9 °F,40%,30.39 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,53.1 °F,  -,27.0 °F,37%,30.41 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,51.1 °F,  -,27.0 °F,39%,30.42 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,51.1 °F,  -,26.1 °F,38%,30.42 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
