Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,70.0 °F,53.1 °F,55%,30.19 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
1:52 AM,68.0 °F,54.0 °F,61%,30.18 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Overcast
2:52 AM,66.9 °F,52.0 °F,59%,30.17 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,66.9 °F,52.0 °F,59%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:52 AM,64.0 °F,53.1 °F,67%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
5:52 AM,63.0 °F,53.1 °F,70%,30.19 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
6:52 AM,61.0 °F,53.1 °F,75%,30.20 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,61.0 °F,52.0 °F,72%,30.23 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,64.9 °F,54.0 °F,68%,30.25 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
9:52 AM,70.0 °F,53.1 °F,55%,30.26 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,73.9 °F,52.0 °F,46%,30.27 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,77.0 °F,50.0 °F,39%,30.29 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,79.0 °F,51.1 °F,38%,30.26 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,81.0 °F,51.1 °F,35%,30.23 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
2:52 PM,82.0 °F,48.0 °F,30%,30.20 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
3:52 PM,81.0 °F,48.9 °F,33%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
4:52 PM,81.0 °F,46.9 °F,30%,30.16 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,82.4 °F,46.4 °F,28%,30.17 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,81.0 °F,46.9 °F,30%,30.14 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,77.0 °F,46.9 °F,34%,30.15 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,75.9 °F,48.0 °F,37%,30.16 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
9:52 PM,71.1 °F,48.9 °F,45%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:52 PM,72.0 °F,50.0 °F,46%,30.17 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,71.1 °F,50.0 °F,47%,30.17 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Scattered Clouds
