Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,70.0 °F,  -,51.1 °F,51%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
1:52 AM,70.0 °F,  -,50.0 °F,49%,30.16 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,66.9 °F,  -,53.1 °F,61%,30.15 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:52 AM,64.9 °F,  -,54.0 °F,68%,30.14 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
4:52 AM,64.9 °F,  -,54.0 °F,68%,30.14 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
5:52 AM,63.0 °F,  -,54.0 °F,72%,30.14 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
6:52 AM,62.1 °F,  -,53.1 °F,72%,30.15 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
7:52 AM,62.6 °F,  -,53.6 °F,72%,30.18 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
8:52 AM,64.9 °F,  -,55.9 °F,73%,30.17 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
9:52 AM,70.0 °F,  -,55.0 °F,59%,30.19 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
10:52 AM,73.4 °F,  -,55.4 °F,53%,30.22 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:52 AM,79.0 °F,  -,52.0 °F,39%,30.19 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
12:52 PM,80.1 °F,79.9 °F,53.1 °F,39%,30.18 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:52 PM,81.0 °F,80.4 °F,53.1 °F,38%,30.16 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 PM,81.0 °F,  -,52.0 °F,36%,30.13 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:52 PM,81.0 °F,  -,51.1 °F,35%,30.11 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,81.0 °F,  -,51.1 °F,35%,30.09 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,82.0 °F,  -,51.1 °F,34%,30.08 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,80.1 °F,  -,50.0 °F,35%,30.08 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,78.1 °F,  -,51.1 °F,39%,30.09 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,75.0 °F,  -,52.0 °F,44%,30.09 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,73.9 °F,  -,52.0 °F,46%,30.10 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,73.9 °F,  -,52.0 °F,46%,30.10 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,72.0 °F,  -,53.1 °F,51%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
