Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,55.9 °F,46.9 °F,72%,30.36 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,55.0 °F,46.9 °F,74%,30.36 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,54.0 °F,48.0 °F,80%,30.35 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,53.1 °F,48.0 °F,83%,30.34 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,53.1 °F,48.9 °F,86%,30.34 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,50.0 °F,46.9 °F,89%,30.35 in,8.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,51.1 °F,48.0 °F,89%,30.34 in,7.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,52.0 °F,48.9 °F,89%,30.34 in,6.0 mi,SE,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:19 AM,53.6 °F,50.0 °F,88%,30.35 in,6.0 mi,SE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,55.9 °F,51.1 °F,84%,30.35 in,7.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,60.1 °F,53.1 °F,78%,30.34 in,10.0 mi,South,10.4 mph,16.1 mph,N/A,	 ,Mostly Cloudy
10:52 AM,64.0 °F,54.0 °F,70%,30.32 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,69.1 °F,52.0 °F,54%,30.28 in,10.0 mi,SSE,15.0 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,72.0 °F,51.1 °F,48%,30.25 in,10.0 mi,South,15.0 mph,20.7 mph,N/A,	 ,Mostly Cloudy
1:52 PM,72.0 °F,48.9 °F,44%,30.22 in,10.0 mi,SSW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,72.0 °F,50.0 °F,46%,30.19 in,10.0 mi,SSW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,75.0 °F,50.0 °F,41%,30.17 in,10.0 mi,SSW,15.0 mph,20.7 mph,N/A,	 ,Scattered Clouds
4:52 PM,75.0 °F,50.0 °F,41%,30.15 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,73.0 °F,50.0 °F,44%,30.15 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,72.0 °F,51.1 °F,48%,30.14 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,69.1 °F,51.1 °F,53%,30.13 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,69.1 °F,51.1 °F,53%,30.13 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Overcast
9:52 PM,66.9 °F,52.0 °F,59%,30.12 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,68.0 °F,52.0 °F,56%,30.11 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,66.9 °F,53.1 °F,61%,30.11 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Overcast
