Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,60.1 °F,37.9 °F,44%,30.24 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,60.1 °F,37.9 °F,44%,30.22 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
2:52 AM,57.9 °F,37.9 °F,47%,30.22 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Clear
3:52 AM,55.0 °F,39.9 °F,57%,30.22 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Clear
4:52 AM,53.1 °F,41.0 °F,64%,30.23 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Clear
5:52 AM,53.1 °F,42.1 °F,66%,30.24 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,52.0 °F,43.0 °F,71%,30.27 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,53.1 °F,43.0 °F,69%,30.28 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,57.0 °F,45.0 °F,64%,30.29 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,63.0 °F,41.0 °F,45%,30.29 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,66.9 °F,41.0 °F,39%,30.30 in,10.0 mi,SSE,15.0 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,69.1 °F,41.0 °F,36%,30.30 in,10.0 mi,SE,10.4 mph,17.3 mph,N/A,	 ,Partly Cloudy
12:52 PM,73.0 °F,41.0 °F,31%,30.27 in,10.0 mi,SSE,12.7 mph,17.3 mph,N/A,	 ,Partly Cloudy
1:52 PM,73.0 °F,39.9 °F,30%,30.25 in,10.0 mi,Variable,5.8 mph,18.4 mph,N/A,	 ,Partly Cloudy
2:52 PM,75.0 °F,39.9 °F,28%,30.22 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,75.0 °F,39.9 °F,28%,30.20 in,10.0 mi,SE,6.9 mph,17.3 mph,N/A,	 ,Partly Cloudy
4:52 PM,75.9 °F,41.0 °F,29%,30.17 in,10.0 mi,South,11.5 mph,18.4 mph,N/A,	 ,Partly Cloudy
5:52 PM,75.2 °F,42.8 °F,31%,30.18 in,10.0 mi,South,12.7 mph,18.4 mph,N/A,	 ,Partly Cloudy
6:52 PM,75.0 °F,43.0 °F,32%,30.17 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,72.0 °F,44.1 °F,37%,30.16 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,71.1 °F,43.0 °F,36%,30.17 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,66.9 °F,43.0 °F,42%,30.18 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,66.0 °F,42.1 °F,42%,30.18 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Clear
11:52 PM,64.0 °F,41.0 °F,43%,30.17 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Clear
