Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,44.1 °F,40.1 °F,27.0 °F,51%,29.90 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
1:52 AM,43.0 °F,38.8 °F,28.0 °F,56%,29.89 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
2:52 AM,42.1 °F,37.7 °F,28.9 °F,60%,29.88 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
3:52 AM,42.1 °F,37.1 °F,30.0 °F,62%,29.88 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
4:52 AM,43.0 °F,38.2 °F,30.0 °F,60%,29.89 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
5:52 AM,44.1 °F,38.6 °F,30.0 °F,58%,29.89 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Clear
6:52 AM,42.1 °F,36.6 °F,30.9 °F,65%,29.91 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,45.0 °F,39.7 °F,32.0 °F,60%,29.93 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Clear
8:52 AM,50.0 °F,  -,33.1 °F,52%,29.94 in,10.0 mi,West,12.7 mph,  -,N/A,	 ,Clear
9:52 AM,54.0 °F,  -,35.1 °F,49%,29.95 in,10.0 mi,WNW,12.7 mph,21.9 mph,N/A,	 ,Partly Cloudy
10:52 AM,60.1 °F,  -,37.0 °F,42%,29.94 in,10.0 mi,WNW,13.8 mph,24.2 mph,N/A,	 ,Scattered Clouds
11:52 AM,62.1 °F,  -,35.1 °F,37%,29.95 in,10.0 mi,WNW,23.0 mph,31.1 mph,N/A,	 ,Scattered Clouds
12:52 PM,63.0 °F,  -,35.1 °F,35%,29.94 in,10.0 mi,WNW,19.6 mph,28.8 mph,N/A,	 ,Scattered Clouds
1:52 PM,64.9 °F,  -,34.0 °F,32%,29.93 in,10.0 mi,WNW,25.3 mph,31.1 mph,N/A,	 ,Scattered Clouds
2:52 PM,66.0 °F,  -,36.0 °F,33%,29.92 in,10.0 mi,NW,18.4 mph,27.6 mph,N/A,	 ,Mostly Cloudy
3:52 PM,66.0 °F,  -,35.1 °F,32%,29.91 in,10.0 mi,WNW,17.3 mph,25.3 mph,N/A,	 ,Partly Cloudy
4:52 PM,66.9 °F,  -,36.0 °F,32%,29.90 in,10.0 mi,NW,17.3 mph,26.5 mph,N/A,	 ,Scattered Clouds
5:52 PM,66.9 °F,  -,37.0 °F,33%,29.88 in,10.0 mi,WNW,12.7 mph,23.0 mph,N/A,	 ,Partly Cloudy
6:52 PM,66.0 °F,  -,37.0 °F,34%,29.89 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,64.0 °F,  -,37.9 °F,38%,29.89 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,61.0 °F,  -,37.9 °F,42%,29.90 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,57.9 °F,  -,39.9 °F,51%,29.92 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:52 PM,57.9 °F,  -,39.9 °F,51%,29.91 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,55.9 °F,  -,41.0 °F,57%,29.90 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Partly Cloudy
