Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,69.1 °F,  -,57.0 °F,65%,29.80 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
1:52 AM,69.1 °F,  -,57.9 °F,68%,29.79 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Clear
2:52 AM,68.0 °F,  -,57.9 °F,70%,29.78 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
3:52 AM,66.0 °F,  -,57.9 °F,75%,29.78 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
4:52 AM,64.9 °F,  -,57.9 °F,78%,29.78 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
5:52 AM,64.0 °F,  -,57.9 °F,80%,29.81 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
6:52 AM,64.9 °F,  -,57.9 °F,78%,29.83 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
7:52 AM,64.0 °F,  -,57.9 °F,80%,29.85 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,66.9 °F,  -,60.1 °F,79%,29.88 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
9:52 AM,70.0 °F,  -,61.0 °F,73%,29.88 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,75.0 °F,  -,62.1 °F,64%,29.88 in,10.0 mi,WNW,17.3 mph,23.0 mph,N/A,	 ,Scattered Clouds
11:52 AM,77.0 °F,  -,61.0 °F,58%,29.89 in,10.0 mi,WNW,15.0 mph,24.2 mph,N/A,	 ,Scattered Clouds
12:52 PM,80.1 °F,80.9 °F,60.1 °F,50%,29.88 in,10.0 mi,NW,11.5 mph,23.0 mph,N/A,	 ,Scattered Clouds
1:52 PM,82.0 °F,82.4 °F,60.1 °F,47%,29.86 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,82.9 °F,82.6 °F,57.9 °F,42%,29.85 in,10.0 mi,WNW,13.8 mph,21.9 mph,N/A,	 ,Scattered Clouds
3:52 PM,84.0 °F,83.0 °F,55.9 °F,38%,29.83 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,84.0 °F,83.0 °F,55.9 °F,38%,29.81 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,82.9 °F,82.0 °F,55.0 °F,38%,29.80 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,82.0 °F,81.4 °F,55.0 °F,39%,29.80 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,79.0 °F,  -,54.0 °F,42%,29.81 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,75.9 °F,  -,57.0 °F,52%,29.84 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,73.9 °F,  -,57.9 °F,57%,29.88 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,72.0 °F,  -,57.9 °F,61%,29.89 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,70.0 °F,  -,59.0 °F,68%,29.88 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
