Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,57.9 °F,46.0 °F,65%,30.18 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,57.9 °F,46.0 °F,65%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
2:52 AM,57.0 °F,46.0 °F,67%,30.16 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,57.0 °F,46.0 °F,67%,30.17 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,55.0 °F,46.0 °F,72%,30.17 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,54.0 °F,45.0 °F,72%,30.17 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Clear
6:52 AM,53.1 °F,45.0 °F,74%,30.19 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,54.0 °F,46.0 °F,75%,30.21 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,59.0 °F,46.9 °F,64%,30.22 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,62.1 °F,48.0 °F,60%,30.21 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,68.0 °F,51.1 °F,55%,30.19 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,72.0 °F,50.0 °F,46%,30.19 in,10.0 mi,WNW,8.1 mph,16.1 mph,N/A,	 ,Partly Cloudy
12:52 PM,73.9 °F,48.9 °F,41%,30.17 in,10.0 mi,WNW,9.2 mph,18.4 mph,N/A,	 ,Partly Cloudy
1:52 PM,75.0 °F,46.9 °F,37%,30.14 in,10.0 mi,West,12.7 mph,18.4 mph,N/A,	 ,Partly Cloudy
2:52 PM,75.9 °F,46.0 °F,35%,30.12 in,10.0 mi,WNW,13.8 mph,19.6 mph,N/A,	 ,Scattered Clouds
3:52 PM,77.0 °F,44.1 °F,31%,30.09 in,10.0 mi,West,12.7 mph,18.4 mph,N/A,	 ,Mostly Cloudy
4:52 PM,77.0 °F,45.0 °F,32%,30.08 in,10.0 mi,West,10.4 mph,19.6 mph,N/A,	 ,Mostly Cloudy
5:52 PM,77.0 °F,44.1 °F,31%,30.06 in,10.0 mi,NW,12.7 mph,19.6 mph,N/A,	 ,Mostly Cloudy
6:52 PM,73.9 °F,43.0 °F,33%,30.07 in,10.0 mi,WNW,15.0 mph,20.7 mph,N/A,	 ,Mostly Cloudy
7:52 PM,72.0 °F,46.9 °F,41%,30.07 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,69.1 °F,46.9 °F,45%,30.07 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,68.0 °F,48.0 °F,49%,30.09 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,66.0 °F,48.9 °F,54%,30.09 in,10.0 mi,WNW,9.2 mph,21.9 mph,N/A,	 ,Mostly Cloudy
11:52 PM,64.9 °F,48.9 °F,56%,30.09 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
