Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,68.0 °F,  -,63.0 °F,84%,29.97 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Overcast
1:52 AM,64.9 °F,  -,62.1 °F,90%,29.96 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,66.0 °F,  -,62.1 °F,87%,29.95 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,64.9 °F,  -,62.1 °F,90%,29.94 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,64.0 °F,  -,61.0 °F,90%,29.94 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,63.0 °F,  -,60.1 °F,90%,29.96 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,62.1 °F,  -,60.1 °F,93%,29.97 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
7:52 AM,64.0 °F,  -,59.0 °F,84%,29.98 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,68.0 °F,  -,60.1 °F,76%,29.99 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,72.0 °F,  -,61.0 °F,68%,30.00 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,75.0 °F,  -,59.0 °F,57%,29.99 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,77.0 °F,  -,60.1 °F,56%,29.98 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,79.0 °F,  -,60.1 °F,52%,29.97 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,80.1 °F,80.4 °F,57.0 °F,45%,29.95 in,10.0 mi,NW,9.2 mph,16.1 mph,N/A,	 ,Mostly Cloudy
2:52 PM,82.0 °F,81.4 °F,55.0 °F,39%,29.94 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,82.0 °F,  -,51.1 °F,34%,29.92 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,80.1 °F,80.4 °F,57.0 °F,45%,29.91 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,79.0 °F,  -,57.0 °F,47%,29.91 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,78.1 °F,  -,57.9 °F,50%,29.91 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,77.0 °F,  -,54.0 °F,45%,29.91 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,73.0 °F,  -,55.9 °F,55%,29.91 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,72.0 °F,  -,55.9 °F,57%,29.93 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,72.0 °F,  -,55.0 °F,55%,29.94 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,70.0 °F,  -,55.9 °F,61%,29.94 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Partly Cloudy
