Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,69.1 °F,  -,59.0 °F,70%,29.98 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,66.0 °F,  -,57.9 °F,75%,29.99 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,64.9 °F,  -,57.0 °F,75%,30.00 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,64.0 °F,  -,57.0 °F,78%,29.99 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,64.9 °F,  -,57.0 °F,75%,29.99 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,64.9 °F,  -,57.0 °F,75%,30.00 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,64.0 °F,  -,57.9 °F,80%,30.02 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,64.9 °F,  -,57.9 °F,78%,30.04 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,69.1 °F,  -,59.0 °F,70%,30.06 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,71.1 °F,  -,59.0 °F,66%,30.07 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,73.0 °F,  -,59.0 °F,61%,30.06 in,10.0 mi,ENE,13.8 mph,19.6 mph,N/A,	 ,Scattered Clouds
11:52 AM,73.9 °F,  -,59.0 °F,59%,30.07 in,10.0 mi,East,11.5 mph,17.3 mph,N/A,	 ,Mostly Cloudy
12:52 PM,75.9 °F,  -,57.9 °F,54%,30.06 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,77.0 °F,  -,59.0 °F,54%,30.05 in,10.0 mi,East,10.4 mph,19.6 mph,N/A,	 ,Mostly Cloudy
2:52 PM,79.0 °F,  -,59.0 °F,50%,30.04 in,10.0 mi,ENE,6.9 mph,18.4 mph,N/A,	 ,Scattered Clouds
3:52 PM,80.1 °F,80.6 °F,57.9 °F,47%,30.01 in,10.0 mi,East,5.8 mph,16.1 mph,N/A,	 ,Scattered Clouds
4:52 PM,79.0 °F,  -,57.0 °F,47%,30.01 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,79.0 °F,  -,55.9 °F,45%,30.01 in,10.0 mi,ESE,10.4 mph,19.6 mph,N/A,	 ,Scattered Clouds
6:52 PM,78.1 °F,  -,55.9 °F,46%,30.01 in,10.0 mi,East,13.8 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,75.9 °F,  -,55.9 °F,50%,30.01 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,73.0 °F,  -,55.9 °F,55%,30.04 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,72.0 °F,  -,55.9 °F,57%,30.04 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,70.0 °F,  -,57.0 °F,63%,30.06 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,68.0 °F,  -,57.9 °F,70%,30.06 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
