Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:50 AM,66.2 °F,  -,60.8 °F,83%,30.00 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
12:52 AM,66.9 °F,  -,61.0 °F,81%,29.98 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
1:52 AM,66.9 °F,  -,61.0 °F,81%,29.99 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
2:52 AM,66.9 °F,  -,61.0 °F,81%,29.99 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
3:02 AM,66.2 °F,  -,60.8 °F,83%,30.01 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
3:52 AM,66.0 °F,  -,61.0 °F,84%,29.98 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:48 AM,64.4 °F,  -,60.8 °F,88%,30.00 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,64.9 °F,  -,61.0 °F,87%,29.97 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
5:31 AM,64.4 °F,  -,60.8 °F,88%,30.00 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
5:49 AM,64.4 °F,  -,60.8 °F,88%,30.01 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,64.0 °F,  -,61.0 °F,90%,29.99 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:47 AM,64.4 °F,  -,60.8 °F,88%,30.03 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,64.9 °F,  -,60.1 °F,84%,30.01 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,66.0 °F,  -,60.1 °F,81%,30.02 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,69.1 °F,  -,60.1 °F,73%,30.04 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,71.1 °F,  -,61.0 °F,70%,30.04 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,73.9 °F,  -,61.0 °F,64%,30.03 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,73.0 °F,  -,60.1 °F,64%,30.02 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:20 PM,75.2 °F,  -,60.8 °F,61%,30.04 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,75.9 °F,  -,60.1 °F,58%,30.01 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,79.0 °F,  -,57.9 °F,48%,30.00 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,80.1 °F,80.2 °F,55.9 °F,43%,29.97 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,80.1 °F,80.1 °F,55.0 °F,42%,29.96 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,81.0 °F,80.8 °F,55.9 °F,42%,29.96 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,81.0 °F,80.7 °F,55.0 °F,41%,29.96 in,10.0 mi,ENE,8.1 mph,16.1 mph,N/A,	 ,Mostly Cloudy
6:52 PM,80.1 °F,80.1 °F,55.0 °F,42%,29.97 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,79.0 °F,  -,54.0 °F,42%,29.97 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,78.1 °F,  -,53.1 °F,42%,29.97 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,73.9 °F,  -,57.0 °F,55%,29.98 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,75.0 °F,  -,57.0 °F,53%,29.99 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,72.0 °F,  -,57.9 °F,61%,30.00 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Scattered Clouds
