Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,82.0 °F,85.9 °F,70.0 °F,67%,29.95 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,81.0 °F,84.4 °F,70.0 °F,69%,29.97 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
2:52 AM,80.1 °F,83.2 °F,70.0 °F,71%,29.96 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
3:52 AM,79.0 °F,  -,70.0 °F,74%,29.95 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
4:52 AM,78.1 °F,  -,70.0 °F,76%,29.95 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
5:52 AM,75.9 °F,  -,70.0 °F,82%,29.96 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,75.9 °F,  -,70.0 °F,82%,29.98 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,79.0 °F,  -,71.1 °F,77%,30.00 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,82.0 °F,86.3 °F,71.1 °F,69%,30.02 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,84.9 °F,90.7 °F,72.0 °F,65%,30.01 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,88.0 °F,94.7 °F,72.0 °F,59%,30.00 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,91.9 °F,98.4 °F,71.1 °F,50%,30.00 in,10.0 mi,North,13.8 mph,20.7 mph,N/A,	 ,Scattered Clouds
12:52 PM,93.0 °F,97.9 °F,69.1 °F,45%,29.98 in,10.0 mi,North,8.1 mph,19.6 mph,N/A,	 ,Scattered Clouds
1:52 PM,93.0 °F,96.4 °F,66.9 °F,42%,29.97 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,96.1 °F,101.0 °F,68.0 °F,40%,29.96 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,97.0 °F,101.0 °F,66.9 °F,37%,29.95 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,95.0 °F,99.0 °F,66.9 °F,40%,29.93 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,96.1 °F,99.3 °F,66.0 °F,37%,29.92 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,93.9 °F,99.1 °F,69.1 °F,44%,29.91 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,91.9 °F,97.4 °F,70.0 °F,48%,29.92 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,89.1 °F,93.7 °F,69.1 °F,52%,29.93 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,88.0 °F,92.1 °F,69.1 °F,53%,29.94 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,86.0 °F,90.1 °F,69.1 °F,57%,29.94 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,84.0 °F,87.8 °F,69.1 °F,61%,29.93 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Scattered Clouds
