Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,73.9 °F,  -,64.0 °F,71%,30.08 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
1:52 AM,72.0 °F,  -,64.0 °F,76%,30.07 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
2:52 AM,72.0 °F,  -,63.0 °F,73%,30.06 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Clear
3:52 AM,71.1 °F,  -,63.0 °F,75%,30.05 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
4:52 AM,70.0 °F,  -,63.0 °F,78%,30.06 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
5:52 AM,71.1 °F,  -,63.0 °F,75%,30.06 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Clear
6:52 AM,70.0 °F,  -,63.0 °F,78%,30.09 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Clear
7:52 AM,71.1 °F,  -,63.0 °F,75%,30.11 in,10.0 mi,NE,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,73.9 °F,  -,64.0 °F,71%,30.12 in,10.0 mi,NE,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,78.1 °F,  -,64.0 °F,62%,30.10 in,10.0 mi,ENE,15.0 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,80.1 °F,81.7 °F,64.0 °F,58%,30.10 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,84.0 °F,84.9 °F,63.0 °F,49%,30.09 in,10.0 mi,East,17.3 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,84.9 °F,85.9 °F,63.0 °F,48%,30.06 in,10.0 mi,ENE,13.8 mph,19.6 mph,N/A,	 ,Scattered Clouds
1:52 PM,88.0 °F,88.4 °F,62.1 °F,42%,30.04 in,10.0 mi,East,11.5 mph,18.4 mph,N/A,	 ,Scattered Clouds
2:52 PM,88.0 °F,87.9 °F,61.0 °F,40%,30.01 in,10.0 mi,NE,11.5 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,90.0 °F,89.1 °F,59.0 °F,35%,29.99 in,10.0 mi,East,13.8 mph,18.4 mph,N/A,	 ,Scattered Clouds
4:52 PM,90.0 °F,88.8 °F,57.9 °F,34%,29.96 in,10.0 mi,East,15.0 mph,21.9 mph,N/A,	 ,Scattered Clouds
5:52 PM,90.0 °F,88.8 °F,57.9 °F,34%,29.96 in,10.0 mi,ENE,13.8 mph,20.7 mph,N/A,	 ,Mostly Cloudy
6:52 PM,88.0 °F,88.4 °F,62.1 °F,42%,29.96 in,10.0 mi,ENE,16.1 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,86.0 °F,86.8 °F,63.0 °F,46%,29.96 in,10.0 mi,East,16.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,84.9 °F,87.1 °F,66.0 °F,53%,29.97 in,10.0 mi,ESE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,81.0 °F,84.4 °F,70.0 °F,69%,29.99 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,79.0 °F,  -,69.1 °F,72%,30.00 in,10.0 mi,ESE,12.7 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,78.1 °F,  -,70.0 °F,76%,30.00 in,10.0 mi,ESE,10.4 mph,16.1 mph,N/A,	 ,Mostly Cloudy
