Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,75.9 °F,  -,72.0 °F,87%,30.16 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
1:52 AM,75.0 °F,  -,72.0 °F,90%,30.16 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Overcast
2:52 AM,75.0 °F,  -,71.1 °F,87%,30.15 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Overcast
3:52 AM,75.0 °F,  -,71.1 °F,87%,30.16 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
4:52 AM,73.9 °F,  -,71.1 °F,91%,30.16 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
5:52 AM,73.9 °F,  -,71.1 °F,91%,30.17 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Overcast
6:52 AM,73.0 °F,  -,70.0 °F,90%,30.18 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Overcast
7:09 AM,73.4 °F,  -,69.8 °F,88%,30.21 in,7.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
7:50 AM,73.4 °F,  -,69.8 °F,88%,30.23 in,7.0 mi,ESE,4.6 mph,  -,N/A,	 ,Overcast
7:52 AM,73.9 °F,  -,70.0 °F,87%,30.20 in,7.0 mi,SE,4.6 mph,  -,N/A,	 ,Overcast
8:29 AM,73.4 °F,  -,69.8 °F,88%,30.24 in,7.0 mi,SE,4.6 mph,  -,N/A,	 ,Overcast
8:52 AM,73.9 °F,  -,70.0 °F,87%,30.22 in,8.0 mi,SSE,5.8 mph,  -,N/A,	 ,Overcast
9:52 AM,75.2 °F,  -,69.8 °F,83%,30.25 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
10:52 AM,75.9 °F,  -,71.1 °F,85%,30.24 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Overcast
11:52 AM,79.0 °F,  -,71.1 °F,77%,30.24 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
12:52 PM,80.1 °F,83.6 °F,71.1 °F,74%,30.23 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:52 PM,82.9 °F,87.5 °F,71.1 °F,67%,30.21 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,84.9 °F,89.4 °F,70.0 °F,61%,30.19 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,87.1 °F,92.0 °F,70.0 °F,57%,30.17 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,87.1 °F,91.3 °F,69.1 °F,55%,30.15 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,87.1 °F,90.6 °F,68.0 °F,53%,30.13 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
6:52 PM,84.2 °F,88.4 °F,69.8 °F,62%,30.16 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,82.9 °F,87.5 °F,71.1 °F,67%,30.14 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,81.0 °F,85.2 °F,72.0 °F,74%,30.16 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,79.0 °F,  -,72.0 °F,79%,30.17 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,79.0 °F,  -,73.0 °F,82%,30.17 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,77.0 °F,  -,72.0 °F,84%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
