Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,59.0 °F,41.0 °F,51%,30.17 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
1:52 AM,57.0 °F,39.0 °F,51%,30.16 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
2:52 AM,57.0 °F,37.0 °F,47%,30.14 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Clear
3:52 AM,54.0 °F,37.9 °F,55%,30.14 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
4:52 AM,53.1 °F,39.0 °F,59%,30.13 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
5:52 AM,51.1 °F,39.0 °F,63%,30.14 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
6:52 AM,51.1 °F,39.9 °F,66%,30.16 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
7:52 AM,50.0 °F,39.9 °F,68%,30.18 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
8:52 AM,57.0 °F,39.9 °F,53%,30.19 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
9:52 AM,63.0 °F,37.9 °F,40%,30.20 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,66.9 °F,39.0 °F,36%,30.20 in,10.0 mi,East,16.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,70.0 °F,39.9 °F,33%,30.20 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Clear
12:52 PM,71.6 °F,41.0 °F,33%,30.20 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,73.9 °F,39.9 °F,29%,30.17 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,75.9 °F,39.9 °F,27%,30.14 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,78.1 °F,37.9 °F,24%,30.13 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,78.1 °F,37.0 °F,23%,30.12 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,77.0 °F,39.0 °F,25%,30.12 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,73.9 °F,39.0 °F,28%,30.13 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,71.1 °F,41.0 °F,34%,30.14 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,69.1 °F,41.0 °F,36%,30.15 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Clear
9:52 PM,66.0 °F,42.1 °F,42%,30.16 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
10:52 PM,64.0 °F,43.0 °F,46%,30.17 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
11:52 PM,62.1 °F,44.1 °F,52%,30.17 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
