Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,77.0 °F,  -,69.1 °F,76%,30.09 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,75.9 °F,  -,69.1 °F,79%,30.07 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,75.2 °F,  -,69.8 °F,83%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
3:52 AM,75.0 °F,  -,69.1 °F,82%,30.04 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Clear
4:52 AM,75.9 °F,  -,69.1 °F,79%,30.03 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Clear
5:52 AM,73.0 °F,  -,69.1 °F,87%,30.03 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
6:52 AM,73.0 °F,  -,69.1 °F,87%,30.04 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,75.0 °F,  -,70.0 °F,84%,30.05 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,78.8 °F,  -,71.6 °F,78%,30.09 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,81.0 °F,84.9 °F,71.1 °F,72%,30.06 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,84.0 °F,89.0 °F,71.1 °F,65%,30.07 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,87.1 °F,92.0 °F,70.0 °F,57%,30.06 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,87.1 °F,90.6 °F,68.0 °F,53%,30.03 in,10.0 mi,WSW,11.5 mph,17.3 mph,N/A,	 ,Mostly Cloudy
1:52 PM,86.0 °F,90.1 °F,69.1 °F,57%,30.01 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,87.1 °F,91.3 °F,69.1 °F,55%,29.99 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,88.0 °F,91.4 °F,68.0 °F,51%,29.96 in,10.0 mi,SW,10.4 mph,19.6 mph,N/A,	 ,Mostly Cloudy
4:52 PM,88.0 °F,92.9 °F,70.0 °F,55%,29.94 in,10.0 mi,SW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,86.0 °F,90.7 °F,70.0 °F,59%,29.94 in,10.0 mi,SW,9.2 mph,19.6 mph,N/A,	 ,Mostly Cloudy
6:52 PM,86.0 °F,90.1 °F,69.1 °F,57%,29.93 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,84.0 °F,88.4 °F,70.0 °F,63%,29.95 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,82.0 °F,86.3 °F,71.1 °F,69%,29.96 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,81.0 °F,84.9 °F,71.1 °F,72%,29.96 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,80.1 °F,83.6 °F,71.1 °F,74%,29.96 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,80.6 °F,84.6 °F,71.6 °F,74%,30.00 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
