Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,66.0 °F,60.1 °F,81%,30.15 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
12:59 AM,66.2 °F,60.8 °F,83%,30.17 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
1:16 AM,64.4 °F,60.8 °F,88%,30.17 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
1:52 AM,64.9 °F,60.1 °F,84%,30.14 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
2:52 AM,64.0 °F,60.1 °F,87%,30.13 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
3:52 AM,64.0 °F,60.1 °F,87%,30.13 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
4:06 AM,64.4 °F,60.8 °F,88%,30.14 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Overcast
4:52 AM,64.0 °F,59.0 °F,84%,30.13 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Overcast
5:26 AM,62.6 °F,59.0 °F,88%,30.13 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,63.0 °F,59.0 °F,87%,30.11 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,63.0 °F,59.0 °F,87%,30.13 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Overcast
7:50 AM,62.6 °F,59.0 °F,88%,30.14 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
7:52 AM,63.0 °F,59.0 °F,87%,30.13 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Overcast
8:24 AM,62.6 °F,59.0 °F,88%,30.15 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
8:44 AM,62.6 °F,59.0 °F,88%,30.15 in,9.0 mi,East,10.4 mph,  -,N/A,	 ,Overcast
8:52 AM,63.0 °F,59.0 °F,87%,30.14 in,9.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
9:15 AM,62.6 °F,59.0 °F,88%,30.16 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
9:52 AM,64.0 °F,57.9 °F,80%,30.15 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Overcast
9:59 AM,64.4 °F,59.0 °F,83%,30.16 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
10:48 AM,66.2 °F,59.0 °F,78%,30.16 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
10:52 AM,66.0 °F,59.0 °F,78%,30.14 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
11:26 AM,66.2 °F,57.2 °F,73%,30.14 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Overcast
11:52 AM,68.0 °F,57.9 °F,70%,30.13 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,68.0 °F,55.9 °F,65%,30.12 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Overcast
1:41 PM,68.0 °F,57.2 °F,68%,30.11 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
1:52 PM,68.0 °F,55.9 °F,65%,30.09 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Overcast
2:52 PM,68.0 °F,57.0 °F,68%,30.07 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
3:52 PM,68.0 °F,57.0 °F,68%,30.06 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
4:23 PM,66.2 °F,57.2 °F,73%,30.08 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Overcast
4:52 PM,66.9 °F,57.0 °F,70%,30.07 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
5:49 PM,66.2 °F,57.2 °F,73%,30.06 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
5:52 PM,66.9 °F,57.9 °F,73%,30.05 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
6:52 PM,66.0 °F,57.0 °F,73%,30.05 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Overcast
7:52 PM,64.9 °F,57.9 °F,78%,30.06 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
8:52 PM,64.9 °F,57.9 °F,78%,30.08 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
9:52 PM,64.9 °F,57.9 °F,78%,30.08 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Overcast
10:52 PM,63.0 °F,57.9 °F,84%,30.08 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,62.1 °F,57.9 °F,86%,30.06 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Scattered Clouds
