Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,55.9 °F,  -,50.0 °F,80%,29.88 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,54.0 °F,  -,50.0 °F,86%,29.87 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Clear
2:52 AM,53.1 °F,  -,50.0 °F,89%,29.87 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
3:52 AM,53.1 °F,  -,50.0 °F,89%,29.86 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
4:52 AM,51.1 °F,  -,48.0 °F,89%,29.86 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
5:52 AM,51.1 °F,  -,48.0 °F,89%,29.86 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
6:52 AM,50.0 °F,  -,46.9 °F,89%,29.87 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
7:52 AM,48.9 °F,  -,46.0 °F,90%,29.89 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
8:52 AM,51.1 °F,  -,46.0 °F,83%,29.91 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Clear
9:52 AM,55.0 °F,  -,46.0 °F,72%,29.92 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,57.0 °F,  -,42.1 °F,57%,29.94 in,10.0 mi,NW,21.9 mph,28.8 mph,N/A,	 ,Partly Cloudy
11:52 AM,60.1 °F,  -,41.0 °F,49%,29.96 in,10.0 mi,NW,17.3 mph,27.6 mph,N/A,	 ,Partly Cloudy
12:52 PM,61.0 °F,  -,39.9 °F,46%,29.96 in,10.0 mi,NW,20.7 mph,29.9 mph,N/A,	 ,Partly Cloudy
1:52 PM,62.1 °F,  -,37.9 °F,41%,29.95 in,10.0 mi,NW,18.4 mph,28.8 mph,N/A,	 ,Partly Cloudy
2:52 PM,62.1 °F,  -,36.0 °F,38%,29.95 in,10.0 mi,NW,18.4 mph,26.5 mph,N/A,	 ,Partly Cloudy
3:52 PM,62.1 °F,  -,36.0 °F,38%,29.96 in,10.0 mi,NW,21.9 mph,25.3 mph,N/A,	 ,Clear
4:52 PM,61.0 °F,  -,34.0 °F,36%,29.98 in,10.0 mi,NW,16.1 mph,23.0 mph,N/A,	 ,Clear
5:52 PM,59.0 °F,  -,33.1 °F,38%,29.99 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Clear
6:52 PM,55.0 °F,  -,34.0 °F,45%,30.01 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Clear
7:52 PM,52.0 °F,  -,35.1 °F,53%,30.04 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
8:52 PM,50.0 °F,  -,35.1 °F,57%,30.06 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
9:52 PM,48.0 °F,  -,35.1 °F,61%,30.07 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
10:52 PM,48.0 °F,  -,35.1 °F,61%,30.09 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
11:52 PM,45.0 °F,41.8 °F,36.0 °F,71%,30.11 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
