Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,62.1 °F,55.9 °F,80%,30.26 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:52 AM,61.0 °F,55.9 °F,83%,30.25 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 AM,60.1 °F,55.0 °F,83%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:52 AM,59.0 °F,55.0 °F,87%,30.25 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:52 AM,57.9 °F,54.0 °F,87%,30.24 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,57.9 °F,54.0 °F,87%,30.26 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
6:52 AM,59.0 °F,54.0 °F,83%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
7:52 AM,59.0 °F,54.0 °F,83%,30.29 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
8:52 AM,57.9 °F,54.0 °F,87%,30.30 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,64.0 °F,55.0 °F,73%,30.30 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,66.9 °F,55.9 °F,68%,30.30 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,72.0 °F,55.0 °F,55%,30.29 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,73.9 °F,55.0 °F,52%,30.27 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,75.9 °F,55.0 °F,48%,30.24 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,77.0 °F,54.0 °F,45%,30.21 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,75.9 °F,54.0 °F,46%,30.19 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,73.9 °F,55.0 °F,52%,30.18 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Overcast
5:52 PM,73.0 °F,55.9 °F,55%,30.17 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
6:52 PM,71.1 °F,55.9 °F,59%,30.17 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Overcast
7:52 PM,70.0 °F,55.9 °F,61%,30.17 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Overcast
8:52 PM,68.0 °F,55.9 °F,65%,30.18 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Overcast
9:52 PM,66.9 °F,55.9 °F,68%,30.18 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Overcast
10:52 PM,64.9 °F,55.9 °F,73%,30.19 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,64.0 °F,55.0 °F,73%,30.18 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
