Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,46.9 °F,  -,30.0 °F,52%,30.27 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Overcast
1:52 AM,46.0 °F,44.8 °F,32.0 °F,58%,30.28 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Overcast
2:52 AM,45.0 °F,42.6 °F,32.0 °F,60%,30.29 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,43.0 °F,38.8 °F,33.1 °F,68%,30.29 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,43.0 °F,38.8 °F,33.1 °F,68%,30.29 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,41.0 °F,37.1 °F,32.0 °F,70%,30.31 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,42.1 °F,37.1 °F,33.1 °F,70%,30.33 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,42.1 °F,38.4 °F,33.1 °F,70%,30.34 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,45.0 °F,41.2 °F,33.1 °F,63%,30.37 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,48.0 °F,  -,34.0 °F,58%,30.36 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,52.0 °F,  -,32.0 °F,47%,30.35 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,54.0 °F,  -,33.1 °F,45%,30.33 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,57.0 °F,  -,30.9 °F,37%,30.32 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,59.0 °F,  -,30.9 °F,35%,30.30 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,57.9 °F,  -,30.9 °F,36%,30.27 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Overcast
3:52 PM,59.0 °F,  -,32.0 °F,36%,30.27 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Overcast
4:52 PM,57.0 °F,  -,30.9 °F,37%,30.27 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Overcast
5:52 PM,55.9 °F,  -,32.0 °F,40%,30.25 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Overcast
6:52 PM,55.9 °F,  -,33.1 °F,42%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
7:52 PM,55.0 °F,  -,34.0 °F,45%,30.27 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Overcast
8:52 PM,54.0 °F,  -,36.0 °F,51%,30.28 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
9:52 PM,55.0 °F,  -,36.0 °F,49%,30.27 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Overcast
10:52 PM,52.0 °F,  -,37.9 °F,59%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
11:52 PM,51.1 °F,  -,39.9 °F,66%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
