Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,35.1 °F,24.5 °F,28.9 °F,78%,30.27 in,10.0 mi,NW,18.4 mph,24.2 mph,N/A,	 ,Mostly Cloudy
1:52 AM,34.0 °F,22.1 °F,27.0 °F,75%,30.28 in,10.0 mi,NW,21.9 mph,28.8 mph,N/A,	 ,Mostly Cloudy
2:52 AM,33.1 °F,21.2 °F,26.1 °F,75%,30.29 in,10.0 mi,NW,20.7 mph,29.9 mph,N/A,	 ,Scattered Clouds
3:52 AM,32.0 °F,20.5 °F,26.1 °F,79%,30.31 in,10.0 mi,NW,18.4 mph,  -,N/A,	 ,Clear
4:52 AM,32.0 °F,21.6 °F,25.0 °F,75%,30.32 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Clear
5:52 AM,30.9 °F,19.1 °F,25.0 °F,79%,30.32 in,10.0 mi,NNW,18.4 mph,  -,N/A,	 ,Clear
6:52 AM,30.9 °F,20.7 °F,25.0 °F,79%,30.35 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
7:52 AM,30.9 °F,19.8 °F,25.0 °F,79%,30.36 in,10.0 mi,NW,16.1 mph,25.3 mph,N/A,	 ,Clear
8:52 AM,32.0 °F,20.5 °F,25.0 °F,75%,30.40 in,10.0 mi,NW,18.4 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,34.0 °F,24.6 °F,25.0 °F,70%,30.42 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,37.0 °F,27.4 °F,25.0 °F,62%,30.42 in,10.0 mi,NW,17.3 mph,21.9 mph,N/A,	 ,Partly Cloudy
11:52 AM,39.0 °F,29.9 °F,24.1 °F,55%,30.43 in,10.0 mi,NW,17.3 mph,21.9 mph,N/A,	 ,Partly Cloudy
12:52 PM,39.0 °F,30.3 °F,23.0 °F,53%,30.40 in,10.0 mi,NNW,16.1 mph,21.9 mph,N/A,	 ,Partly Cloudy
1:52 PM,39.9 °F,31.8 °F,23.0 °F,51%,30.40 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,39.9 °F,31.4 °F,21.0 °F,47%,30.40 in,10.0 mi,NNW,16.1 mph,  -,N/A,	 ,Clear
3:52 PM,39.0 °F,30.6 °F,19.9 °F,46%,30.40 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Clear
4:52 PM,37.9 °F,28.9 °F,18.0 °F,45%,30.40 in,10.0 mi,NNW,16.1 mph,20.7 mph,N/A,	 ,Clear
5:52 PM,35.1 °F,27.4 °F,19.0 °F,52%,30.40 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
6:52 PM,34.0 °F,25.5 °F,18.0 °F,52%,30.41 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
7:52 PM,33.1 °F,26.1 °F,19.0 °F,56%,30.42 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
8:52 PM,32.0 °F,23.6 °F,18.0 °F,56%,30.41 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
9:52 PM,30.0 °F,23.2 °F,18.0 °F,61%,30.40 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Clear
10:52 PM,30.0 °F,23.2 °F,18.0 °F,61%,30.39 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Clear
11:52 PM,28.9 °F,22.8 °F,18.0 °F,64%,30.39 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Clear
