Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,37.0 °F,28.1 °F,17.1 °F,44%,30.17 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,36.0 °F,27.1 °F,17.1 °F,46%,30.16 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
2:52 AM,35.1 °F,26.4 °F,17.1 °F,48%,30.17 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Clear
3:52 AM,33.1 °F,23.0 °F,16.0 °F,50%,30.18 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Clear
4:52 AM,32.0 °F,21.6 °F,15.1 °F,50%,30.18 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Clear
5:52 AM,30.0 °F,18.3 °F,12.0 °F,47%,30.21 in,10.0 mi,NNW,17.3 mph,23.0 mph,N/A,	 ,Clear
6:52 AM,30.0 °F,20.5 °F,12.0 °F,47%,30.23 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
7:52 AM,28.9 °F,18.2 °F,10.9 °F,47%,30.26 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,30.9 °F,19.8 °F,12.0 °F,46%,30.28 in,10.0 mi,NW,16.1 mph,21.9 mph,N/A,	 ,Partly Cloudy
9:52 AM,33.1 °F,21.9 °F,12.0 °F,42%,30.31 in,10.0 mi,NW,18.4 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,36.0 °F,27.5 °F,12.0 °F,37%,30.33 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,37.9 °F,29.6 °F,12.9 °F,36%,30.33 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,41.0 °F,33.9 °F,12.9 °F,32%,30.30 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,43.0 °F,36.8 °F,12.9 °F,30%,30.29 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,45.0 °F,39.7 °F,15.1 °F,30%,30.27 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,44.1 °F,38.1 °F,15.1 °F,31%,30.27 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,44.1 °F,37.7 °F,16.0 °F,32%,30.29 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,42.1 °F,36.6 °F,16.0 °F,35%,30.30 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
6:52 PM,39.0 °F,34.8 °F,16.0 °F,39%,30.31 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
7:52 PM,37.9 °F,30.5 °F,17.1 °F,43%,30.31 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
8:52 PM,37.0 °F,30.4 °F,16.0 °F,42%,30.32 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,35.1 °F,29.3 °F,17.1 °F,48%,30.32 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,34.0 °F,28.8 °F,17.1 °F,50%,30.32 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,33.1 °F,27.7 °F,17.1 °F,52%,30.32 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
