Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,50.0 °F,  -,37.0 °F,61%,30.19 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Overcast
1:52 AM,50.0 °F,  -,37.0 °F,61%,30.18 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Overcast
2:52 AM,48.9 °F,  -,37.9 °F,66%,30.16 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,46.9 °F,  -,37.9 °F,71%,30.16 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,48.0 °F,  -,39.9 °F,74%,30.16 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,50.0 °F,  -,41.0 °F,71%,30.14 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,50.0 °F,  -,41.0 °F,71%,30.17 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Overcast
7:52 AM,50.0 °F,  -,39.9 °F,68%,30.19 in,8.0 mi,WNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,50.0 °F,  -,39.9 °F,68%,30.21 in,10.0 mi,NW,17.3 mph,21.9 mph,N/A,	 ,Mostly Cloudy
9:52 AM,51.1 °F,  -,37.0 °F,59%,30.25 in,10.0 mi,NW,19.6 mph,25.3 mph,N/A,	 ,Scattered Clouds
10:52 AM,52.0 °F,  -,36.0 °F,54%,30.27 in,10.0 mi,NNW,18.4 mph,24.2 mph,N/A,	 ,Scattered Clouds
11:52 AM,53.1 °F,  -,32.0 °F,45%,30.28 in,10.0 mi,WNW,16.1 mph,19.6 mph,N/A,	 ,Mostly Cloudy
12:52 PM,55.0 °F,  -,28.0 °F,35%,30.27 in,10.0 mi,NW,11.5 mph,23.0 mph,N/A,	 ,Mostly Cloudy
1:52 PM,55.0 °F,  -,26.1 °F,33%,30.26 in,10.0 mi,NNW,16.1 mph,24.2 mph,N/A,	 ,Mostly Cloudy
2:52 PM,54.0 °F,  -,19.9 °F,26%,30.27 in,10.0 mi,NW,17.3 mph,23.0 mph,N/A,	 ,Mostly Cloudy
3:52 PM,54.0 °F,  -,19.0 °F,25%,30.27 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,52.0 °F,  -,17.1 °F,25%,30.28 in,10.0 mi,NNW,12.7 mph,18.4 mph,N/A,	 ,Mostly Cloudy
5:52 PM,48.0 °F,  -,15.1 °F,27%,30.29 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,45.0 °F,38.9 °F,15.1 °F,30%,30.32 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,43.0 °F,36.8 °F,12.9 °F,30%,30.33 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,41.0 °F,35.8 °F,12.0 °F,31%,30.34 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,39.0 °F,35.7 °F,12.0 °F,33%,30.34 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,39.0 °F,33.4 °F,14.0 °F,36%,30.36 in,10.0 mi,NE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,39.0 °F,32.8 °F,14.0 °F,36%,30.35 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
