Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,36.0 °F,29.6 °F,30.0 °F,79%,30.17 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
1:52 AM,35.1 °F,30.1 °F,30.0 °F,82%,30.19 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
2:52 AM,34.0 °F,27.2 °F,30.0 °F,85%,30.20 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
3:52 AM,34.0 °F,25.0 °F,30.0 °F,85%,30.20 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Clear
4:52 AM,34.0 °F,26.6 °F,28.9 °F,82%,30.22 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
5:52 AM,33.1 °F,26.1 °F,28.9 °F,85%,30.22 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,32.0 °F,25.6 °F,28.9 °F,88%,30.24 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,33.1 °F,26.9 °F,28.9 °F,85%,30.25 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,37.0 °F,32.4 °F,30.0 °F,76%,30.27 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,42.1 °F,39.2 °F,30.9 °F,65%,30.30 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,46.9 °F,  -,30.0 °F,52%,30.32 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:52 AM,52.0 °F,  -,30.0 °F,43%,30.30 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,55.9 °F,  -,27.0 °F,33%,30.28 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,59.0 °F,  -,28.0 °F,31%,30.25 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,59.0 °F,  -,26.1 °F,28%,30.23 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,60.1 °F,  -,24.1 °F,25%,30.22 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,60.1 °F,  -,25.0 °F,26%,30.22 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,59.0 °F,  -,28.0 °F,31%,30.23 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,55.9 °F,  -,28.9 °F,36%,30.25 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,53.1 °F,  -,28.9 °F,40%,30.26 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,52.0 °F,  -,28.9 °F,41%,30.25 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,50.0 °F,  -,30.0 °F,46%,30.26 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,48.9 °F,  -,30.0 °F,48%,30.26 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,46.0 °F,43.9 °F,30.9 °F,56%,30.25 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
