Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,61.0 °F,39.9 °F,46%,29.97 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Clear
1:52 AM,60.1 °F,42.1 °F,51%,29.96 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
2:52 AM,59.0 °F,44.1 °F,58%,29.97 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Clear
3:52 AM,59.0 °F,46.0 °F,62%,29.96 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
4:52 AM,57.9 °F,46.9 °F,67%,29.96 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Clear
5:52 AM,57.0 °F,46.9 °F,69%,29.97 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Clear
6:52 AM,55.0 °F,46.9 °F,74%,29.97 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Clear
7:52 AM,54.0 °F,48.0 °F,80%,30.00 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,55.0 °F,48.9 °F,80%,30.01 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,57.9 °F,50.0 °F,75%,30.01 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,64.0 °F,52.0 °F,65%,30.02 in,10.0 mi,West,12.7 mph,20.7 mph,N/A,	 ,Mostly Cloudy
11:52 AM,66.2 °F,51.8 °F,60%,30.02 in,10.0 mi,WSW,15.0 mph,18.4 mph,N/A,	 ,Overcast
12:52 PM,66.0 °F,52.0 °F,60%,30.00 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Overcast
1:52 PM,68.0 °F,50.0 °F,52%,29.98 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Overcast
2:52 PM,69.1 °F,48.0 °F,47%,29.96 in,10.0 mi,SW,16.1 mph,23.0 mph,N/A,	 ,Overcast
3:52 PM,68.0 °F,48.0 °F,49%,29.93 in,10.0 mi,SSW,10.4 mph,17.3 mph,N/A,	 ,Overcast
4:52 PM,68.0 °F,46.9 °F,47%,29.92 in,10.0 mi,SSW,10.4 mph,  -,N/A,	 ,Overcast
5:52 PM,66.9 °F,48.0 °F,51%,29.92 in,10.0 mi,SW,11.5 mph,20.7 mph,N/A,	 ,Mostly Cloudy
6:52 PM,66.9 °F,48.9 °F,52%,29.93 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,64.9 °F,48.9 °F,56%,29.94 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Overcast
8:52 PM,63.0 °F,50.0 °F,63%,29.94 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,61.0 °F,51.1 °F,70%,29.95 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,61.0 °F,52.0 °F,72%,29.95 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,60.1 °F,53.1 °F,78%,29.95 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
