Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,41.0 °F,38.0 °F,25.0 °F,53%,30.29 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,39.9 °F,36.7 °F,26.1 °F,58%,30.29 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,39.0 °F,36.8 °F,26.1 °F,60%,30.28 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Clear
3:52 AM,39.0 °F,35.7 °F,26.1 °F,60%,30.28 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Clear
4:52 AM,37.9 °F,35.5 °F,26.1 °F,62%,30.28 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Clear
5:52 AM,36.0 °F,31.1 °F,26.1 °F,67%,30.29 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
6:52 AM,36.0 °F,30.3 °F,26.1 °F,67%,30.31 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,37.4 °F,32.8 °F,26.6 °F,65%,30.31 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,39.9 °F,35.1 °F,27.0 °F,60%,30.35 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,45.0 °F,42.6 °F,27.0 °F,49%,30.35 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,50.0 °F,  -,26.1 °F,39%,30.36 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,52.0 °F,  -,21.9 °F,31%,30.35 in,10.0 mi,NW,13.8 mph,19.6 mph,N/A,	 ,Partly Cloudy
12:52 PM,55.0 °F,  -,21.0 °F,27%,30.35 in,10.0 mi,NW,11.5 mph,21.9 mph,N/A,	 ,Clear
1:52 PM,57.0 °F,  -,19.0 °F,23%,30.32 in,10.0 mi,North,8.1 mph,18.4 mph,N/A,	 ,Clear
2:52 PM,57.9 °F,  -,23.0 °F,26%,30.29 in,10.0 mi,NNW,4.6 mph,18.4 mph,N/A,	 ,Clear
3:52 PM,60.1 °F,  -,25.0 °F,26%,30.27 in,10.0 mi,NW,13.8 mph,24.2 mph,N/A,	 ,Partly Cloudy
4:52 PM,61.0 °F,  -,25.0 °F,25%,30.25 in,10.0 mi,NW,12.7 mph,24.2 mph,N/A,	 ,Partly Cloudy
5:52 PM,61.0 °F,  -,25.0 °F,25%,30.25 in,10.0 mi,NW,16.1 mph,20.7 mph,N/A,	 ,Clear
6:52 PM,59.0 °F,  -,25.0 °F,27%,30.25 in,10.0 mi,NW,13.8 mph,18.4 mph,N/A,	 ,Clear
7:52 PM,57.0 °F,  -,26.1 °F,30%,30.26 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Clear
8:52 PM,55.9 °F,  -,26.1 °F,32%,30.28 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Clear
9:52 PM,53.1 °F,  -,27.0 °F,37%,30.29 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Clear
10:52 PM,53.1 °F,  -,28.0 °F,38%,30.30 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Clear
11:52 PM,51.1 °F,  -,28.0 °F,41%,30.31 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Clear
