Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,52.0 °F,  -,32.0 °F,47%,30.23 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1:52 AM,51.1 °F,  -,32.0 °F,48%,30.24 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,50.0 °F,  -,33.1 °F,52%,30.23 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:52 AM,48.9 °F,  -,32.0 °F,52%,30.23 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,44.1 °F,40.8 °F,35.1 °F,71%,30.25 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,46.9 °F,  -,35.1 °F,63%,30.27 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,46.0 °F,41.9 °F,35.1 °F,66%,30.29 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,46.9 °F,  -,36.0 °F,66%,30.31 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,50.0 °F,  -,37.9 °F,63%,30.31 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,55.4 °F,  -,41.0 °F,58%,30.32 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,60.1 °F,  -,43.0 °F,53%,30.32 in,10.0 mi,East,16.1 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,62.1 °F,  -,39.0 °F,43%,30.33 in,10.0 mi,East,19.6 mph,26.5 mph,N/A,	 ,Scattered Clouds
12:52 PM,64.0 °F,  -,39.0 °F,40%,30.31 in,10.0 mi,ESE,11.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,64.9 °F,  -,39.9 °F,40%,30.30 in,10.0 mi,East,15.0 mph,21.9 mph,N/A,	 ,Scattered Clouds
2:52 PM,66.9 °F,  -,39.9 °F,37%,30.27 in,10.0 mi,ESE,8.1 mph,21.9 mph,N/A,	 ,Scattered Clouds
3:52 PM,66.9 °F,  -,39.0 °F,36%,30.25 in,10.0 mi,ENE,11.5 mph,23.0 mph,N/A,	 ,Partly Cloudy
4:52 PM,66.0 °F,  -,37.0 °F,34%,30.24 in,10.0 mi,East,5.8 mph,21.9 mph,N/A,	 ,Partly Cloudy
5:52 PM,66.9 °F,  -,39.0 °F,36%,30.23 in,10.0 mi,East,10.4 mph,25.3 mph,N/A,	 ,Partly Cloudy
6:52 PM,66.9 °F,  -,37.9 °F,34%,30.24 in,10.0 mi,ESE,12.7 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,64.9 °F,  -,37.0 °F,36%,30.25 in,10.0 mi,East,13.8 mph,21.9 mph,N/A,	 ,Scattered Clouds
8:52 PM,61.0 °F,  -,37.9 °F,42%,30.27 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,59.0 °F,  -,39.0 °F,48%,30.28 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,57.9 °F,  -,39.0 °F,49%,30.28 in,10.0 mi,East,17.3 mph,  -,N/A,	 ,Clear
11:52 PM,57.0 °F,  -,39.0 °F,51%,30.28 in,10.0 mi,East,15.0 mph,  -,N/A,	 ,Clear
