Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,57.0 °F,  -,54.0 °F,89%,30.14 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Overcast
1:17 AM,55.4 °F,  -,53.6 °F,94%,30.16 in,9.0 mi,NNW,13.8 mph,  -,N/A,	 ,Overcast
1:40 AM,53.6 °F,  -,50.0 °F,88%,30.16 in,9.0 mi,NW,17.3 mph,23.0 mph,N/A,	 ,Overcast
1:52 AM,53.1 °F,  -,48.9 °F,86%,30.15 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Overcast
2:06 AM,53.6 °F,  -,48.2 °F,82%,30.16 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Overcast
2:36 AM,51.8 °F,  -,48.2 °F,88%,30.15 in,10.0 mi,NW,11.5 mph,  -,0.00 in,	 ,Mostly Cloudy
2:52 AM,51.1 °F,  -,46.0 °F,83%,30.14 in,10.0 mi,NW,12.7 mph,20.7 mph,0.00 in,	 ,Mostly Cloudy
3:31 AM,50.0 °F,  -,44.6 °F,82%,30.16 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Overcast
3:52 AM,50.0 °F,  -,44.1 °F,80%,30.15 in,10.0 mi,NW,12.7 mph,19.6 mph,N/A,	 ,Overcast
4:25 AM,48.2 °F,  -,42.8 °F,82%,30.17 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,48.0 °F,  -,42.1 °F,80%,30.17 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,46.9 °F,  -,39.9 °F,77%,30.18 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,46.0 °F,41.4 °F,39.9 °F,79%,30.19 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,46.9 °F,  -,39.9 °F,77%,30.22 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,48.9 °F,  -,39.9 °F,71%,30.23 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,52.0 °F,  -,41.0 °F,66%,30.24 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,55.9 °F,  -,42.1 °F,60%,30.26 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,59.0 °F,  -,41.0 °F,51%,30.28 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,63.0 °F,  -,39.9 °F,43%,30.28 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
1:52 PM,66.0 °F,  -,37.0 °F,34%,30.27 in,10.0 mi,NW,12.7 mph,17.3 mph,N/A,	 ,Partly Cloudy
2:52 PM,69.1 °F,  -,32.0 °F,25%,30.27 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Clear
3:52 PM,70.0 °F,  -,32.0 °F,25%,30.25 in,10.0 mi,NW,15.0 mph,20.7 mph,N/A,	 ,Clear
4:52 PM,70.0 °F,  -,30.9 °F,24%,30.24 in,10.0 mi,NW,17.3 mph,20.7 mph,N/A,	 ,Clear
5:52 PM,70.0 °F,  -,26.1 °F,19%,30.25 in,10.0 mi,North,13.8 mph,  -,N/A,	 ,Clear
6:52 PM,68.0 °F,  -,17.1 °F,14%,30.26 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Clear
7:52 PM,64.9 °F,  -,23.0 °F,20%,30.27 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
8:52 PM,60.1 °F,  -,27.0 °F,28%,30.27 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
9:52 PM,57.0 °F,  -,32.0 °F,39%,30.30 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
10:52 PM,57.0 °F,  -,32.0 °F,39%,30.31 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
11:52 PM,54.0 °F,  -,32.0 °F,43%,30.31 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
