Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,72.0 °F,  -,61.0 °F,68%,30.14 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Clear
1:52 AM,71.1 °F,  -,60.1 °F,68%,30.12 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Clear
2:52 AM,69.1 °F,  -,60.1 °F,73%,30.13 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Clear
3:52 AM,68.0 °F,  -,60.1 °F,76%,30.15 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Clear
4:52 AM,66.0 °F,  -,60.1 °F,81%,30.16 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Clear
5:52 AM,66.0 °F,  -,60.1 °F,81%,30.16 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Clear
6:52 AM,64.0 °F,  -,60.1 °F,87%,30.18 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:20 AM,64.4 °F,  -,60.8 °F,88%,30.20 in,9.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,66.9 °F,  -,62.1 °F,84%,30.19 in,9.0 mi,SE,5.8 mph,  -,N/A,	 ,Overcast
8:02 AM,66.2 °F,  -,62.6 °F,88%,30.21 in,8.0 mi,SE,6.9 mph,  -,N/A,	 ,Overcast
8:52 AM,68.0 °F,  -,63.0 °F,84%,30.20 in,8.0 mi,Variable,6.9 mph,  -,N/A,	 ,Overcast
9:00 AM,69.8 °F,  -,62.6 °F,78%,30.23 in,8.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
9:52 AM,70.0 °F,  -,64.0 °F,81%,30.21 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Overcast
10:52 AM,73.0 °F,  -,64.0 °F,73%,30.22 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,75.0 °F,  -,64.0 °F,69%,30.22 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:33 PM,75.2 °F,  -,60.8 °F,61%,30.24 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,78.1 °F,  -,62.1 °F,58%,30.21 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,80.1 °F,80.9 °F,60.1 °F,50%,30.19 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,82.0 °F,82.1 °F,59.0 °F,45%,30.17 in,10.0 mi,ESE,11.5 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,82.9 °F,83.3 °F,61.0 °F,47%,30.15 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,82.0 °F,82.7 °F,61.0 °F,49%,30.14 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,82.9 °F,83.3 °F,61.0 °F,47%,30.13 in,10.0 mi,SE,10.4 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,82.9 °F,83.3 °F,61.0 °F,47%,30.12 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,82.0 °F,83.0 °F,62.1 °F,51%,30.12 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,79.0 °F,  -,62.1 °F,56%,30.12 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,77.0 °F,  -,63.0 °F,62%,30.13 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,75.9 °F,  -,62.1 °F,62%,30.14 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,73.9 °F,  -,62.1 °F,66%,30.14 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Partly Cloudy
