Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,73.9 °F,  -,66.0 °F,76%,30.15 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,72.0 °F,  -,66.9 °F,84%,30.14 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,71.1 °F,  -,66.9 °F,87%,30.12 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:52 AM,71.1 °F,  -,66.0 °F,84%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
4:52 AM,71.1 °F,  -,66.0 °F,84%,30.11 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Clear
5:52 AM,70.0 °F,  -,66.0 °F,87%,30.13 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:19 AM,69.8 °F,  -,66.2 °F,88%,30.16 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,69.1 °F,  -,66.9 °F,93%,30.15 in,6.0 mi,SSE,6.9 mph,  -,N/A,	 ,Overcast
7:52 AM,71.1 °F,  -,68.0 °F,90%,30.15 in,6.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
8:47 AM,71.6 °F,  -,66.2 °F,83%,30.21 in,7.0 mi,Variable,4.6 mph,  -,N/A,	 ,Overcast
8:52 AM,72.0 °F,  -,66.9 °F,84%,30.18 in,7.0 mi,SE,3.5 mph,  -,N/A,	 ,Overcast
9:19 AM,71.6 °F,  -,66.2 °F,83%,30.21 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Overcast
9:52 AM,73.0 °F,  -,66.9 °F,81%,30.19 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
10:52 AM,73.0 °F,  -,66.9 °F,81%,30.20 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Overcast
11:52 AM,73.0 °F,  -,66.9 °F,81%,30.20 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Overcast
12:52 PM,75.0 °F,  -,66.9 °F,76%,30.19 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:16 PM,75.2 °F,  -,68.0 °F,78%,30.21 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:52 PM,79.0 °F,  -,66.9 °F,66%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 PM,80.1 °F,82.7 °F,68.0 °F,67%,30.14 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,82.0 °F,84.9 °F,68.0 °F,62%,30.12 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,82.0 °F,84.9 °F,68.0 °F,62%,30.12 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
5:52 PM,82.9 °F,85.8 °F,68.0 °F,60%,30.10 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,84.0 °F,86.5 °F,66.9 °F,56%,30.11 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,81.0 °F,83.0 °F,66.0 °F,60%,30.10 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,80.1 °F,82.9 °F,69.1 °F,69%,30.12 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,77.0 °F,  -,68.0 °F,74%,30.12 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,75.0 °F,  -,70.0 °F,84%,30.14 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
11:52 PM,73.9 °F,  -,70.0 °F,87%,30.16 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
