Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,73.9 °F,  -,70.0 °F,87%,30.06 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,73.9 °F,  -,70.0 °F,87%,30.06 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
2:52 AM,72.0 °F,  -,70.0 °F,93%,30.04 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
3:52 AM,72.0 °F,  -,70.0 °F,93%,30.04 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:52 AM,71.1 °F,  -,69.1 °F,93%,30.03 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:52 AM,71.1 °F,  -,69.1 °F,93%,30.03 in,9.0 mi,WNW,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,71.1 °F,  -,68.0 °F,90%,30.04 in,9.0 mi,West,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,72.0 °F,  -,69.1 °F,91%,30.06 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,73.9 °F,  -,70.0 °F,87%,30.09 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,77.0 °F,  -,68.0 °F,74%,30.09 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,81.0 °F,84.1 °F,69.1 °F,67%,30.09 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,84.0 °F,89.0 °F,71.1 °F,65%,30.08 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,86.0 °F,90.7 °F,70.0 °F,59%,30.06 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,86.0 °F,90.1 °F,69.1 °F,57%,30.04 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,88.0 °F,91.4 °F,68.0 °F,51%,30.02 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,88.0 °F,90.7 °F,66.9 °F,49%,29.99 in,10.0 mi,North,9.2 mph,17.3 mph,N/A,	 ,Scattered Clouds
4:52 PM,88.0 °F,90.7 °F,66.9 °F,49%,29.98 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,89.1 °F,92.1 °F,66.9 °F,48%,29.98 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,86.0 °F,89.4 °F,68.0 °F,55%,29.99 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,81.0 °F,84.1 °F,69.1 °F,67%,29.99 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,79.0 °F,  -,70.0 °F,74%,30.01 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,78.1 °F,  -,71.1 °F,79%,30.03 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
10:52 PM,78.1 °F,  -,72.0 °F,81%,30.03 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
11:52 PM,75.9 °F,  -,72.0 °F,87%,30.07 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Overcast
