Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,77.0 °F,  -,68.0 °F,74%,29.99 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Overcast
1:52 AM,75.9 °F,  -,69.1 °F,79%,29.97 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
2:52 AM,75.0 °F,  -,69.1 °F,82%,29.96 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Overcast
3:52 AM,75.9 °F,  -,70.0 °F,82%,29.95 in,8.0 mi,SSE,3.5 mph,  -,N/A,	 ,Overcast
4:32 AM,73.4 °F,  -,71.6 °F,94%,29.99 in,6.0 mi,South,3.5 mph,  -,N/A,	 ,Overcast
4:42 AM,73.4 °F,  -,71.6 °F,94%,29.99 in,5.0 mi,South,3.5 mph,  -,N/A,	 ,Overcast
4:52 AM,73.9 °F,  -,72.0 °F,93%,29.96 in,5.0 mi,South,3.5 mph,  -,N/A,	 ,Overcast
5:52 AM,73.9 °F,  -,72.0 °F,93%,29.96 in,6.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
6:52 AM,73.9 °F,  -,72.0 °F,93%,29.96 in,5.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
7:52 AM,75.0 °F,  -,72.0 °F,90%,29.98 in,5.0 mi,SSW,3.5 mph,  -,N/A,	 ,Overcast
8:04 AM,75.2 °F,  -,73.4 °F,94%,30.02 in,5.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
8:52 AM,75.0 °F,  -,72.0 °F,90%,30.01 in,5.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
9:52 AM,77.0 °F,  -,73.0 °F,88%,30.01 in,6.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,82.9 °F,84.4 °F,64.0 °F,53%,30.01 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,82.9 °F,84.6 °F,64.9 °F,54%,30.02 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,84.9 °F,87.1 °F,66.0 °F,53%,30.01 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:52 PM,86.0 °F,89.4 °F,68.0 °F,55%,30.00 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,88.0 °F,91.4 °F,68.0 °F,51%,29.98 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,84.9 °F,88.2 °F,68.0 °F,57%,29.96 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,86.0 °F,91.5 °F,71.1 °F,61%,29.96 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,86.0 °F,90.7 °F,70.0 °F,59%,29.96 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,84.0 °F,89.0 °F,71.1 °F,65%,29.96 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Overcast
7:52 PM,82.9 °F,88.0 °F,72.0 °F,69%,29.97 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Overcast
8:52 PM,81.0 °F,84.4 °F,70.0 °F,69%,29.99 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Overcast
9:52 PM,81.0 °F,85.2 °F,72.0 °F,74%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
10:52 PM,80.1 °F,83.8 °F,72.0 °F,76%,29.99 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Overcast
11:52 PM,78.1 °F,  -,73.0 °F,84%,29.99 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
