Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,66.9 °F,  -,55.9 °F,68%,29.88 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,66.0 °F,  -,57.0 °F,73%,29.88 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,64.9 °F,  -,57.9 °F,78%,29.88 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,64.9 °F,  -,59.0 °F,81%,29.88 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,62.1 °F,  -,57.9 °F,86%,29.89 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,62.1 °F,  -,57.9 °F,86%,29.91 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,61.0 °F,  -,57.0 °F,87%,29.95 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,62.1 °F,  -,57.9 °F,86%,29.97 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,64.9 °F,  -,57.9 °F,78%,29.98 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,68.0 °F,  -,59.0 °F,73%,29.99 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,72.0 °F,  -,61.0 °F,68%,29.99 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,75.9 °F,  -,61.0 °F,60%,30.00 in,10.0 mi,ESE,10.4 mph,18.4 mph,N/A,	 ,Partly Cloudy
12:52 PM,77.0 °F,  -,59.0 °F,54%,29.99 in,10.0 mi,SSE,8.1 mph,16.1 mph,N/A,	 ,Scattered Clouds
1:52 PM,80.1 °F,80.9 °F,60.1 °F,50%,29.98 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,79.0 °F,  -,59.0 °F,50%,29.96 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,80.1 °F,80.7 °F,59.0 °F,48%,29.95 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,81.0 °F,81.6 °F,60.1 °F,49%,29.94 in,10.0 mi,East,12.7 mph,16.1 mph,N/A,	 ,Scattered Clouds
5:52 PM,78.1 °F,  -,59.0 °F,52%,29.95 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,75.9 °F,  -,60.1 °F,58%,29.96 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,75.0 °F,  -,60.1 °F,60%,29.97 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,73.0 °F,  -,60.1 °F,64%,29.98 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
9:52 PM,73.0 °F,  -,60.1 °F,64%,30.00 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
10:52 PM,72.0 °F,  -,60.1 °F,66%,30.00 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
11:52 PM,71.1 °F,  -,59.0 °F,66%,30.01 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
