Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,50.0 °F,  -,46.4 °F,87%,30.06 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
1:52 AM,50.0 °F,  -,46.0 °F,86%,30.05 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
2:52 AM,48.9 °F,  -,45.0 °F,86%,30.04 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
3:52 AM,48.0 °F,  -,45.0 °F,89%,30.03 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
4:52 AM,48.0 °F,  -,44.1 °F,86%,30.04 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
5:52 AM,46.0 °F,42.5 °F,43.0 °F,89%,30.05 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Clear
6:52 AM,46.0 °F,41.4 °F,43.0 °F,89%,30.06 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
7:52 AM,45.0 °F,41.2 °F,42.1 °F,90%,30.07 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
8:52 AM,48.2 °F,  -,42.8 °F,82%,30.08 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Clear
9:52 AM,54.0 °F,  -,42.1 °F,64%,30.09 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,59.0 °F,  -,39.2 °F,48%,30.09 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,62.1 °F,  -,39.0 °F,43%,30.09 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,64.0 °F,  -,39.9 °F,41%,30.06 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,63.0 °F,  -,39.0 °F,41%,30.03 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Clear
2:52 PM,66.2 °F,  -,37.4 °F,35%,30.00 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
3:52 PM,66.9 °F,  -,37.9 °F,34%,29.98 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
4:52 PM,66.9 °F,  -,35.1 °F,31%,29.97 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Clear
5:52 PM,64.9 °F,  -,33.1 °F,31%,29.98 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
6:52 PM,61.0 °F,  -,36.0 °F,39%,29.99 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
7:52 PM,57.0 °F,  -,37.9 °F,49%,29.99 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
8:52 PM,55.0 °F,  -,39.0 °F,55%,29.99 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
9:52 PM,53.1 °F,  -,39.9 °F,61%,29.98 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
10:52 PM,53.1 °F,  -,39.9 °F,61%,29.98 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
11:52 PM,51.1 °F,  -,39.9 °F,66%,29.97 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Clear
