Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,53.1 °F,42.1 °F,66%,30.01 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,50.0 °F,42.1 °F,74%,30.01 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,48.9 °F,41.0 °F,74%,30.01 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,48.9 °F,41.0 °F,74%,30.02 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,50.0 °F,42.1 °F,74%,30.04 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,48.9 °F,41.0 °F,74%,30.05 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,45.0 °F,39.0 °F,80%,30.05 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:52 AM,52.0 °F,42.1 °F,69%,30.06 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,55.9 °F,44.1 °F,64%,30.07 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,60.8 °F,44.6 °F,55%,30.07 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,63.0 °F,43.0 °F,48%,30.07 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:52 AM,66.0 °F,43.0 °F,43%,30.03 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,68.0 °F,42.1 °F,39%,30.00 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1:52 PM,71.1 °F,42.1 °F,35%,29.97 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,72.0 °F,39.9 °F,31%,29.96 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,72.0 °F,41.0 °F,33%,29.96 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,69.1 °F,39.9 °F,35%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
5:52 PM,64.9 °F,39.9 °F,40%,29.97 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
6:52 PM,62.1 °F,42.1 °F,48%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
7:52 PM,61.0 °F,42.1 °F,50%,29.99 in,10.0 mi,WSW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,57.9 °F,44.1 °F,60%,29.99 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,57.9 °F,46.0 °F,65%,29.99 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,57.9 °F,48.9 °F,72%,29.99 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,57.0 °F,50.0 °F,77%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
