Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,41.0 °F,  -,34.0 °F,76%,30.24 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:52 AM,37.0 °F,  -,33.1 °F,86%,30.26 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
2:52 AM,37.0 °F,  -,32.0 °F,82%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
3:52 AM,35.1 °F,  -,30.9 °F,85%,30.25 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:52 AM,36.0 °F,  -,33.1 °F,89%,30.26 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
5:52 AM,36.0 °F,  -,33.1 °F,89%,30.29 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
6:52 AM,36.0 °F,  -,32.0 °F,86%,30.30 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
7:52 AM,39.0 °F,35.7 °F,33.1 °F,79%,30.32 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,44.1 °F,  -,35.1 °F,71%,30.34 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
9:52 AM,45.0 °F,42.6 °F,36.0 °F,71%,30.36 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,51.1 °F,  -,36.0 °F,56%,30.37 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
11:52 AM,52.0 °F,  -,36.0 °F,54%,30.36 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,54.0 °F,  -,35.1 °F,49%,30.31 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,57.0 °F,  -,35.1 °F,44%,30.29 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
2:52 PM,57.0 °F,  -,32.0 °F,39%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
3:52 PM,57.0 °F,  -,30.9 °F,37%,30.29 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,55.9 °F,  -,32.0 °F,40%,30.28 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,53.1 °F,  -,33.1 °F,47%,30.28 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,51.1 °F,  -,33.1 °F,50%,30.29 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:52 PM,48.9 °F,  -,34.0 °F,56%,30.31 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
8:52 PM,46.9 °F,  -,35.1 °F,63%,30.32 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
9:52 PM,46.9 °F,  -,36.0 °F,66%,30.31 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,46.9 °F,  -,35.1 °F,63%,30.30 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,45.0 °F,  -,35.1 °F,68%,30.29 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
