Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,37.9 °F,  -,32.0 °F,79%,30.19 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1:52 AM,37.9 °F,35.5 °F,32.0 °F,79%,30.17 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,36.0 °F,32.1 °F,32.0 °F,86%,30.18 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,36.0 °F,  -,33.1 °F,89%,30.16 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:52 AM,36.0 °F,32.1 °F,32.0 °F,86%,30.14 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,37.0 °F,34.5 °F,33.1 °F,86%,30.13 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,37.0 °F,31.6 °F,33.1 °F,86%,30.13 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,37.9 °F,32.1 °F,33.1 °F,83%,30.13 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,41.0 °F,33.5 °F,34.0 °F,76%,30.13 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,46.0 °F,41.0 °F,35.1 °F,66%,30.14 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
10:52 AM,50.0 °F,  -,35.1 °F,57%,30.13 in,10.0 mi,NW,12.7 mph,18.4 mph,N/A,	 ,Partly Cloudy
11:52 AM,53.1 °F,  -,32.0 °F,45%,30.10 in,10.0 mi,NNW,12.7 mph,25.3 mph,N/A,	 ,Scattered Clouds
12:52 PM,55.0 °F,  -,30.0 °F,38%,30.08 in,10.0 mi,NW,17.3 mph,24.2 mph,N/A,	 ,Mostly Cloudy
1:52 PM,54.0 °F,  -,30.9 °F,41%,30.06 in,10.0 mi,NW,21.9 mph,26.5 mph,N/A,	 ,Mostly Cloudy
2:52 PM,53.1 °F,  -,32.0 °F,45%,30.06 in,10.0 mi,NNW,15.0 mph,21.9 mph,N/A,	 ,Mostly Cloudy
3:52 PM,52.0 °F,  -,32.0 °F,47%,30.07 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,51.1 °F,  -,32.0 °F,48%,30.07 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Overcast
5:52 PM,50.0 °F,  -,33.1 °F,52%,30.09 in,10.0 mi,NNW,11.5 mph,  -,0.00 in,	 ,Overcast
6:52 PM,48.9 °F,  -,34.0 °F,56%,30.09 in,10.0 mi,NNW,19.6 mph,26.5 mph,N/A,	 ,Overcast
7:52 PM,45.0 °F,37.6 °F,32.0 °F,60%,30.12 in,10.0 mi,NNW,17.3 mph,27.6 mph,N/A,	 ,Mostly Cloudy
8:52 PM,43.0 °F,36.4 °F,28.9 °F,58%,30.14 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,39.9 °F,31.8 °F,28.9 °F,65%,30.14 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,39.0 °F,31.4 °F,30.0 °F,70%,30.14 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,37.9 °F,30.5 °F,30.0 °F,73%,30.14 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
