Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,24.1 °F,10.1 °F,12.0 °F,60%,30.04 in,10.0 mi,NNW,18.4 mph,27.6 mph,0.00 in,	 ,Mostly Cloudy
1:52 AM,23.0 °F,10.6 °F,12.0 °F,63%,30.05 in,10.0 mi,NNW,13.8 mph,  -,0.00 in,	 ,Overcast
2:48 AM,21.2 °F,5.6 °F,10.4 °F,63%,30.03 in,10.0 mi,NNW,20.7 mph,27.6 mph,0.00 in,	 ,Overcast
2:52 AM,21.9 °F,7.8 °F,9.0 °F,58%,30.06 in,10.0 mi,North,17.3 mph,27.6 mph,0.00 in,	 ,Overcast
3:52 AM,19.9 °F,7.9 °F,8.1 °F,60%,30.06 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,19.0 °F,4.5 °F,6.1 °F,57%,30.07 in,10.0 mi,NNW,16.1 mph,21.9 mph,N/A,	 ,Partly Cloudy
5:52 AM,18.0 °F,3.6 °F,3.9 °F,54%,30.11 in,10.0 mi,NNW,15.0 mph,21.9 mph,N/A,	 ,Partly Cloudy
6:52 AM,17.1 °F,1.5 °F,-0.0 °F,47%,30.13 in,10.0 mi,NW,17.3 mph,24.2 mph,N/A,	 ,Clear
7:52 AM,16.0 °F,1.7 °F,-0.0 °F,49%,30.14 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
8:52 AM,18.0 °F,4.8 °F,-2.0 °F,41%,30.16 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Clear
9:52 AM,21.0 °F,9.3 °F,-2.9 °F,35%,30.17 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
10:52 AM,24.1 °F,14.4 °F,-5.1 °F,28%,30.18 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
11:52 AM,27.0 °F,18.0 °F,-5.1 °F,25%,30.16 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
12:52 PM,28.9 °F,20.4 °F,-6.0 °F,22%,30.13 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
1:52 PM,33.1 °F,25.5 °F,-6.0 °F,19%,30.09 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
2:52 PM,35.1 °F,27.9 °F,-7.1 °F,16%,30.08 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Clear
3:52 PM,37.0 °F,29.3 °F,-2.9 °F,18%,30.07 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,37.0 °F,31.0 °F,-0.0 °F,21%,30.09 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,35.1 °F,30.1 °F,-2.9 °F,20%,30.09 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,32.0 °F,26.4 °F,-0.0 °F,26%,30.12 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
7:52 PM,32.0 °F,23.6 °F,1.0 °F,27%,30.14 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Clear
8:52 PM,28.9 °F,21.9 °F,1.9 °F,32%,30.17 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,28.0 °F,21.7 °F,1.9 °F,33%,30.17 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,27.0 °F,19.5 °F,3.9 °F,37%,30.18 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,27.0 °F,21.6 °F,3.9 °F,37%,30.19 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Scattered Clouds
