Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,19.9 °F,5.2 °F,-2.9 °F,37%,30.56 in,10.0 mi,NNW,17.3 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,19.0 °F,4.0 °F,-2.0 °F,40%,30.58 in,10.0 mi,NNW,17.3 mph,21.9 mph,N/A,	 ,Mostly Cloudy
2:52 AM,16.0 °F,0.1 °F,-0.9 °F,47%,30.61 in,10.0 mi,NNW,17.3 mph,24.2 mph,N/A,	 ,Scattered Clouds
3:52 AM,15.1 °F,1.8 °F,-2.0 °F,47%,30.61 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,14.0 °F,-0.8 °F,-0.9 °F,52%,30.62 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,12.9 °F,-1.6 °F,-0.9 °F,54%,30.61 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,12.0 °F,0.5 °F,-0.9 °F,56%,30.63 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,10.9 °F,-0.8 °F,-0.0 °F,61%,30.64 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,14.0 °F,0.5 °F,1.0 °F,56%,30.62 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,18.0 °F,6.9 °F,-0.0 °F,45%,30.63 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,21.9 °F,11.7 °F,-4.0 °F,32%,30.63 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,27.0 °F,18.7 °F,-5.1 °F,25%,30.59 in,10.0 mi,NNE,8.1 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,28.9 °F,25.2 °F,-11.0 °F,17%,30.55 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,33.1 °F,30.0 °F,-8.0 °F,17%,30.49 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,34.0 °F,31.0 °F,-11.0 °F,14%,30.45 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,34.0 °F,29.8 °F,-11.0 °F,14%,30.43 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,34.0 °F,31.0 °F,-11.9 °F,14%,30.42 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,30.9 °F,26.2 °F,-11.9 °F,15%,30.41 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,30.9 °F,  -,-9.9 °F,17%,30.40 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:52 PM,27.0 °F,20.5 °F,-7.1 °F,23%,30.39 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,24.1 °F,17.0 °F,-4.0 °F,29%,30.37 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Clear
9:52 PM,24.1 °F,  -,-2.9 °F,31%,30.34 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
10:52 PM,23.0 °F,18.4 °F,-2.9 °F,32%,30.32 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Clear
11:52 PM,23.0 °F,  -,-2.9 °F,32%,30.30 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
