Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,48.9 °F,  -,28.0 °F,44%,29.93 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Overcast
1:52 AM,48.0 °F,  -,28.0 °F,46%,29.90 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Overcast
2:52 AM,48.0 °F,  -,28.9 °F,48%,29.88 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Overcast
3:52 AM,48.9 °F,  -,32.0 °F,52%,29.90 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Overcast
4:52 AM,46.9 °F,  -,33.1 °F,59%,29.90 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Overcast
5:44 AM,48.2 °F,  -,35.6 °F,62%,29.91 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Overcast
5:52 AM,48.0 °F,  -,36.0 °F,63%,29.91 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Overcast
6:52 AM,46.0 °F,43.9 °F,37.0 °F,71%,29.93 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,45.0 °F,  -,37.0 °F,74%,29.92 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
8:52 AM,46.9 °F,  -,39.9 °F,77%,29.95 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,52.0 °F,  -,39.9 °F,63%,29.94 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,54.0 °F,  -,39.9 °F,59%,29.96 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,57.9 °F,  -,39.0 °F,49%,29.94 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,60.1 °F,  -,36.0 °F,41%,29.93 in,10.0 mi,WNW,13.8 mph,19.6 mph,N/A,	 ,Mostly Cloudy
1:52 PM,57.9 °F,  -,35.1 °F,42%,29.92 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,55.0 °F,  -,34.0 °F,45%,29.92 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,55.0 °F,  -,33.1 °F,43%,29.94 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,55.0 °F,  -,32.0 °F,42%,29.95 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,51.1 °F,  -,30.0 °F,44%,29.97 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,46.0 °F,39.3 °F,19.9 °F,35%,30.02 in,10.0 mi,North,16.1 mph,23.0 mph,N/A,	 ,Partly Cloudy
7:52 PM,42.1 °F,34.5 °F,18.0 °F,38%,30.05 in,10.0 mi,NNW,15.0 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,39.0 °F,30.6 °F,8.1 °F,28%,30.07 in,10.0 mi,NNW,15.0 mph,21.9 mph,N/A,	 ,Scattered Clouds
9:52 PM,36.0 °F,27.5 °F,5.0 °F,27%,30.09 in,10.0 mi,NNW,12.7 mph,19.6 mph,N/A,	 ,Mostly Cloudy
10:52 PM,33.1 °F,22.2 °F,3.9 °F,29%,30.10 in,10.0 mi,NNW,17.3 mph,24.2 mph,N/A,	 ,Mostly Cloudy
11:52 PM,30.0 °F,18.3 °F,3.9 °F,33%,30.09 in,10.0 mi,NNW,17.3 mph,23.0 mph,N/A,	 ,Overcast
