Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,59.0 °F,55.0 °F,87%,30.04 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,60.1 °F,55.0 °F,83%,30.04 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Overcast
2:52 AM,59.0 °F,55.0 °F,87%,30.04 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Overcast
3:52 AM,57.9 °F,55.0 °F,90%,30.04 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Overcast
4:52 AM,57.0 °F,55.0 °F,93%,30.05 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Overcast
5:11 AM,57.2 °F,55.4 °F,94%,30.06 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Overcast
5:16 AM,57.2 °F,55.4 °F,94%,30.06 in,10.0 mi,SSW,5.8 mph,  -,N/A,	 ,Overcast
5:52 AM,59.0 °F,57.0 °F,93%,30.04 in,3.0 mi,South,6.9 mph,  -,N/A,	 ,Overcast
5:59 AM,59.0 °F,57.2 °F,94%,30.06 in,1.5 mi,South,5.8 mph,  -,N/A,	 ,Overcast
6:52 AM,59.0 °F,57.0 °F,93%,30.06 in,1.0 mi,South,5.8 mph,  -,N/A,	 ,Overcast
7:23 AM,59.0 °F,57.2 °F,94%,30.07 in,3.0 mi,South,5.8 mph,  -,N/A,	 ,Overcast
7:52 AM,59.0 °F,57.9 °F,96%,30.06 in,3.0 mi,South,6.9 mph,  -,N/A,	 ,Overcast
8:18 AM,60.8 °F,57.2 °F,88%,30.08 in,3.0 mi,South,9.2 mph,  -,N/A,	 ,Overcast
8:52 AM,60.1 °F,57.0 °F,90%,30.09 in,3.0 mi,SSW,9.2 mph,  -,N/A,	 ,Overcast
9:33 AM,60.8 °F,57.2 °F,88%,30.10 in,8.0 mi,South,11.5 mph,  -,N/A,	 ,Overcast
9:52 AM,61.0 °F,57.0 °F,87%,30.10 in,8.0 mi,South,8.1 mph,  -,N/A,	 ,Overcast
10:52 AM,64.0 °F,57.0 °F,78%,30.10 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
11:33 AM,64.4 °F,57.2 °F,77%,30.11 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,66.0 °F,57.0 °F,73%,30.09 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Overcast
12:52 PM,68.0 °F,57.0 °F,68%,30.06 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,71.1 °F,55.9 °F,59%,30.02 in,10.0 mi,South,11.5 mph,19.6 mph,N/A,	 ,Mostly Cloudy
2:52 PM,73.0 °F,55.9 °F,55%,29.99 in,10.0 mi,South,13.8 mph,23.0 mph,N/A,	 ,Mostly Cloudy
3:52 PM,75.0 °F,53.1 °F,46%,29.97 in,10.0 mi,SSW,12.7 mph,20.7 mph,N/A,	 ,Scattered Clouds
4:52 PM,73.0 °F,52.0 °F,48%,29.98 in,10.0 mi,SSW,16.1 mph,27.6 mph,N/A,	 ,Mostly Cloudy
5:52 PM,71.1 °F,52.0 °F,51%,29.98 in,10.0 mi,South,19.6 mph,26.5 mph,N/A,	 ,Scattered Clouds
6:52 PM,69.1 °F,53.1 °F,57%,29.99 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,66.9 °F,54.0 °F,63%,29.99 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,64.0 °F,54.0 °F,70%,29.97 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,66.9 °F,55.0 °F,66%,29.94 in,10.0 mi,South,11.5 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,66.9 °F,55.9 °F,68%,29.91 in,10.0 mi,South,15.0 mph,20.7 mph,N/A,	 ,Mostly Cloudy
11:52 PM,66.0 °F,57.0 °F,73%,29.88 in,10.0 mi,South,17.3 mph,25.3 mph,N/A,	 ,Mostly Cloudy
