Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,48.9 °F,  -,28.9 °F,46%,30.32 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,46.0 °F,41.0 °F,30.0 °F,54%,30.34 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,44.1 °F,39.0 °F,30.9 °F,60%,30.34 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,43.0 °F,36.8 °F,30.9 °F,62%,30.34 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,43.0 °F,37.2 °F,32.0 °F,65%,30.34 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,41.0 °F,35.2 °F,33.1 °F,73%,30.36 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,39.9 °F,32.9 °F,33.1 °F,77%,30.38 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Scattered Clouds
7:52 AM,41.0 °F,35.2 °F,34.0 °F,76%,30.40 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,46.0 °F,40.6 °F,36.0 °F,68%,30.42 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,48.9 °F,  -,34.0 °F,56%,30.42 in,10.0 mi,East,18.4 mph,24.2 mph,N/A,	 ,Mostly Cloudy
10:52 AM,53.1 °F,  -,34.0 °F,48%,30.43 in,10.0 mi,East,16.1 mph,23.0 mph,N/A,	 ,Scattered Clouds
11:52 AM,55.0 °F,  -,33.1 °F,43%,30.43 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,57.2 °F,  -,33.8 °F,41%,30.42 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,59.0 °F,  -,34.0 °F,39%,30.40 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,63.0 °F,  -,37.9 °F,40%,30.36 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,64.0 °F,  -,39.0 °F,40%,30.32 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,64.0 °F,  -,41.0 °F,43%,30.31 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,64.0 °F,  -,41.0 °F,43%,30.31 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,62.1 °F,  -,41.0 °F,46%,30.32 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
8:52 PM,61.0 °F,  -,39.9 °F,46%,30.32 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
9:52 PM,60.1 °F,  -,39.0 °F,46%,30.32 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
10:52 PM,57.9 °F,  -,39.9 °F,51%,30.30 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
11:52 PM,57.9 °F,  -,39.0 °F,49%,30.31 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
