Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,66.9 °F,52.0 °F,59%,29.89 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,66.0 °F,52.0 °F,60%,29.89 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Overcast
2:52 AM,64.9 °F,53.1 °F,65%,29.90 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
3:52 AM,64.9 °F,55.0 °F,70%,29.87 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Overcast
4:52 AM,64.0 °F,55.9 °F,75%,29.80 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Overcast
5:52 AM,63.0 °F,57.0 °F,81%,29.83 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,64.0 °F,57.9 °F,80%,29.85 in,10.0 mi,SW,10.4 mph,18.4 mph,N/A,	 ,Mostly Cloudy
7:39 AM,62.6 °F,59.0 °F,88%,29.88 in,10.0 mi,SW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,64.0 °F,59.0 °F,84%,29.86 in,10.0 mi,WSW,8.1 mph,18.4 mph,N/A,	 ,Overcast
8:52 AM,64.9 °F,61.0 °F,87%,29.88 in,8.0 mi,SW,8.1 mph,  -,N/A,	 ,Overcast
9:52 AM,66.9 °F,61.0 °F,81%,29.88 in,9.0 mi,WSW,13.8 mph,19.6 mph,N/A,	 ,Overcast
10:52 AM,69.1 °F,61.0 °F,75%,29.89 in,10.0 mi,WSW,13.8 mph,23.0 mph,N/A,	 ,Mostly Cloudy
11:39 AM,71.6 °F,60.8 °F,69%,29.90 in,10.0 mi,WSW,18.4 mph,24.2 mph,N/A,	 ,Mostly Cloudy
11:52 AM,73.9 °F,61.0 °F,64%,29.88 in,10.0 mi,WSW,15.0 mph,20.7 mph,N/A,	 ,Scattered Clouds
12:52 PM,77.0 °F,53.1 °F,43%,29.87 in,10.0 mi,West,17.3 mph,26.5 mph,N/A,	 ,Scattered Clouds
1:52 PM,77.0 °F,53.1 °F,43%,29.87 in,10.0 mi,WNW,18.4 mph,26.5 mph,N/A,	 ,Scattered Clouds
2:52 PM,77.0 °F,53.1 °F,43%,29.88 in,10.0 mi,NW,16.1 mph,24.2 mph,N/A,	 ,Scattered Clouds
3:52 PM,79.0 °F,53.1 °F,40%,29.87 in,10.0 mi,WNW,18.4 mph,23.0 mph,N/A,	 ,Partly Cloudy
4:52 PM,79.0 °F,54.0 °F,42%,29.87 in,10.0 mi,NW,11.5 mph,19.6 mph,N/A,	 ,Partly Cloudy
5:52 PM,77.0 °F,51.1 °F,40%,29.87 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,75.9 °F,50.0 °F,40%,29.88 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
7:52 PM,73.0 °F,50.0 °F,44%,29.88 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
8:52 PM,70.0 °F,50.0 °F,49%,29.91 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
9:52 PM,68.0 °F,51.1 °F,55%,29.93 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
10:52 PM,66.0 °F,51.1 °F,59%,29.95 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
11:52 PM,64.0 °F,51.1 °F,63%,29.95 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
