Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,53.1 °F,37.0 °F,55%,30.13 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1:52 AM,50.0 °F,41.0 °F,71%,30.14 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2:52 AM,50.0 °F,39.0 °F,66%,30.14 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Clear
3:52 AM,48.9 °F,39.0 °F,69%,30.14 in,10.0 mi,SW,5.8 mph,  -,N/A,	 ,Partly Cloudy
4:52 AM,48.9 °F,39.0 °F,69%,30.16 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,48.9 °F,39.9 °F,71%,30.16 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
6:52 AM,48.0 °F,39.9 °F,74%,30.18 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:52 AM,52.0 °F,42.1 °F,69%,30.18 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,57.9 °F,42.1 °F,56%,30.18 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,64.9 °F,42.1 °F,43%,30.18 in,10.0 mi,WSW,11.5 mph,17.3 mph,N/A,	 ,Mostly Cloudy
10:52 AM,63.0 °F,41.0 °F,45%,30.20 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:52 AM,63.0 °F,42.1 °F,46%,30.23 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Overcast
12:52 PM,60.1 °F,46.9 °F,62%,30.24 in,10.0 mi,NW,8.1 mph,  -,0.00 in,	 ,Overcast
1:52 PM,62.1 °F,44.1 °F,52%,30.22 in,10.0 mi,NNW,3.5 mph,  -,N/A,	 ,Overcast
2:52 PM,64.9 °F,44.1 °F,47%,30.18 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,68.0 °F,46.0 °F,45%,30.16 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,69.1 °F,46.9 °F,45%,30.14 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,72.0 °F,48.9 °F,44%,30.14 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,70.0 °F,48.0 °F,46%,30.14 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,69.1 °F,46.9 °F,45%,30.13 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
8:52 PM,66.9 °F,48.0 °F,51%,30.15 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,63.0 °F,50.0 °F,63%,30.16 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,63.0 °F,50.0 °F,63%,30.17 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,60.1 °F,48.9 °F,67%,30.17 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
