Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,72.0 °F,  -,66.0 °F,81%,29.87 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,71.1 °F,  -,66.0 °F,84%,29.87 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,70.0 °F,  -,64.9 °F,84%,29.86 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,69.1 °F,  -,64.0 °F,84%,29.87 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,68.0 °F,  -,62.1 °F,81%,29.87 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
5:52 AM,66.0 °F,  -,61.0 °F,84%,29.88 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Scattered Clouds
6:52 AM,64.0 °F,  -,60.1 °F,87%,29.89 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,64.9 °F,  -,57.9 °F,78%,29.90 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,69.1 °F,  -,57.9 °F,68%,29.92 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,69.1 °F,  -,57.9 °F,68%,29.92 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,75.0 °F,  -,59.0 °F,57%,29.93 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,77.0 °F,  -,53.1 °F,43%,29.94 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,78.1 °F,  -,55.9 °F,46%,29.93 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,80.1 °F,80.1 °F,55.0 °F,42%,29.91 in,10.0 mi,NW,11.5 mph,17.3 mph,N/A,	 ,Scattered Clouds
2:52 PM,81.0 °F,80.4 °F,53.1 °F,38%,29.90 in,10.0 mi,NNW,10.4 mph,20.7 mph,N/A,	 ,Scattered Clouds
3:52 PM,82.9 °F,82.0 °F,55.0 °F,38%,29.89 in,10.0 mi,NNW,12.7 mph,19.6 mph,N/A,	 ,Scattered Clouds
4:52 PM,82.0 °F,81.2 °F,53.1 °F,37%,29.88 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,82.4 °F,  -,51.8 °F,35%,29.91 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,81.0 °F,80.5 °F,54.0 °F,39%,29.88 in,10.0 mi,WNW,11.5 mph,19.6 mph,N/A,	 ,Clear
7:52 PM,79.0 °F,  -,54.0 °F,42%,29.89 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,75.9 °F,  -,52.0 °F,43%,29.91 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,73.4 °F,  -,51.8 °F,47%,29.95 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,72.0 °F,  -,52.0 °F,49%,29.94 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,70.0 °F,  -,53.1 °F,55%,29.94 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Scattered Clouds
