Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,75.9 °F,  -,70.0 °F,82%,30.09 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,75.9 °F,  -,70.0 °F,82%,30.09 in,10.0 mi,WNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,75.0 °F,  -,71.1 °F,87%,30.07 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
3:52 AM,73.9 °F,  -,70.0 °F,87%,30.07 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
4:52 AM,75.2 °F,  -,69.8 °F,83%,30.08 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
5:52 AM,73.9 °F,  -,69.1 °F,85%,30.05 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Clear
6:52 AM,73.9 °F,  -,70.0 °F,87%,30.06 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,75.0 °F,  -,71.1 °F,87%,30.08 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:52 AM,79.0 °F,  -,72.0 °F,79%,30.10 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Scattered Clouds
9:52 AM,82.9 °F,88.8 °F,73.0 °F,72%,30.11 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:52 AM,87.1 °F,94.5 °F,73.0 °F,63%,30.11 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,88.0 °F,94.7 °F,72.0 °F,59%,30.10 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,89.1 °F,96.0 °F,72.0 °F,57%,30.09 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,91.0 °F,97.6 °F,71.1 °F,52%,30.07 in,10.0 mi,WNW,10.4 mph,17.3 mph,N/A,	 ,Scattered Clouds
2:52 PM,91.9 °F,98.4 °F,71.1 °F,50%,30.05 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,93.0 °F,99.0 °F,70.0 °F,47%,30.03 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,91.4 °F,96.8 °F,69.8 °F,49%,30.05 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,91.9 °F,97.4 °F,70.0 °F,48%,29.99 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,91.0 °F,95.6 °F,69.1 °F,48%,29.99 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,89.1 °F,93.7 °F,69.1 °F,52%,29.99 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,87.1 °F,92.0 °F,70.0 °F,57%,29.99 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,84.0 °F,89.6 °F,72.0 °F,67%,30.00 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:52 PM,82.9 °F,86.5 °F,69.1 °F,63%,30.00 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,81.0 °F,84.4 °F,70.0 °F,69%,30.01 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
