Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,70.0 °F,64.0 °F,81%,30.12 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,69.1 °F,64.0 °F,84%,30.12 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,68.0 °F,64.0 °F,87%,30.10 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,66.9 °F,63.0 °F,87%,30.10 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Partly Cloudy
4:02 AM,66.2 °F,62.6 °F,88%,30.12 in,8.0 mi,NNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
4:29 AM,66.2 °F,62.6 °F,88%,30.13 in,7.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,68.0 °F,64.0 °F,87%,30.10 in,7.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
5:21 AM,68.0 °F,64.4 °F,88%,30.13 in,6.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
5:50 AM,69.8 °F,66.2 °F,88%,30.14 in,6.0 mi,ENE,5.8 mph,  -,N/A,	 ,Overcast
5:52 AM,69.1 °F,66.0 °F,90%,30.12 in,6.0 mi,ENE,5.8 mph,  -,N/A,	 ,Overcast
6:52 AM,70.0 °F,66.9 °F,90%,30.14 in,4.0 mi,NNE,3.5 mph,  -,N/A,	 ,Overcast
7:07 AM,69.8 °F,68.0 °F,94%,30.17 in,2.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
7:24 AM,69.8 °F,68.0 °F,94%,30.17 in,1.2 mi,Calm,Calm,  -,N/A,	 ,Overcast
7:52 AM,70.0 °F,69.1 °F,97%,30.16 in,1.2 mi,ENE,3.5 mph,  -,N/A,	 ,Overcast
8:18 AM,71.6 °F,69.8 °F,94%,30.19 in,0.8 mi,East,5.8 mph,  -,N/A,	 ,Overcast
8:52 AM,71.1 °F,70.0 °F,96%,30.17 in,0.8 mi,East,4.6 mph,  -,N/A,	 ,Overcast
9:21 AM,71.6 °F,69.8 °F,94%,30.20 in,1.5 mi,East,5.8 mph,  -,N/A,	 ,Overcast
9:31 AM,73.4 °F,69.8 °F,88%,30.20 in,3.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
9:50 AM,73.4 °F,69.8 °F,88%,30.20 in,7.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
9:52 AM,73.0 °F,70.0 °F,90%,30.18 in,7.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
10:38 AM,75.2 °F,69.8 °F,83%,30.21 in,7.0 mi,ESE,4.6 mph,  -,N/A,	 ,Overcast
10:52 AM,75.9 °F,70.0 °F,82%,30.18 in,7.0 mi,SE,6.9 mph,  -,N/A,	 ,Overcast
11:47 AM,77.0 °F,69.8 °F,78%,30.20 in,7.0 mi,SE,4.6 mph,  -,N/A,	 ,Overcast
11:52 AM,77.0 °F,70.0 °F,79%,30.18 in,7.0 mi,ESE,4.6 mph,  -,N/A,	 ,Overcast
12:42 PM,73.4 °F,69.8 °F,88%,30.20 in,10.0 mi,ENE,13.8 mph,  -,N/A,	 ,Overcast
12:52 PM,73.9 °F,69.1 °F,85%,30.18 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Overcast
1:52 PM,73.9 °F,68.0 °F,82%,30.18 in,10.0 mi,ENE,12.7 mph,  -,N/A,	 ,Overcast
2:11 PM,73.4 °F,66.2 °F,78%,30.19 in,10.0 mi,ENE,13.8 mph,  -,N/A,	 ,Overcast
2:52 PM,73.9 °F,66.9 °F,79%,30.17 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Overcast
3:52 PM,73.0 °F,66.0 °F,79%,30.16 in,10.0 mi,ENE,13.8 mph,  -,N/A,	 ,Overcast
4:52 PM,73.9 °F,66.0 °F,76%,30.15 in,9.0 mi,ENE,11.5 mph,  -,N/A,	 ,Overcast
5:52 PM,72.0 °F,66.0 °F,81%,30.16 in,9.0 mi,East,10.4 mph,  -,N/A,	 ,Overcast
6:52 PM,70.0 °F,64.9 °F,84%,30.15 in,9.0 mi,ENE,10.4 mph,  -,N/A,	 ,Overcast
7:12 PM,69.8 °F,64.4 °F,83%,30.17 in,9.0 mi,East,11.5 mph,  -,N/A,	 ,Overcast
7:52 PM,69.1 °F,64.9 °F,87%,30.17 in,8.0 mi,ENE,8.1 mph,  -,N/A,	 ,Overcast
8:52 PM,68.0 °F,64.9 °F,90%,30.18 in,8.0 mi,East,10.4 mph,  -,N/A,	 ,Overcast
9:52 PM,66.9 °F,64.9 °F,93%,30.20 in,8.0 mi,ESE,6.9 mph,  -,N/A,	 ,Overcast
10:21 PM,66.2 °F,64.4 °F,94%,30.22 in,7.0 mi,East,10.4 mph,  -,N/A,	 ,Overcast
10:42 PM,66.2 °F,64.4 °F,94%,30.22 in,1.5 mi,East,10.4 mph,  -,N/A,	 ,Overcast
10:52 PM,66.9 °F,64.0 °F,90%,30.20 in,1.5 mi,East,6.9 mph,  -,N/A,	 ,Overcast
11:52 PM,66.0 °F,64.0 °F,93%,30.20 in,1.5 mi,East,8.1 mph,  -,N/A,	 ,Overcast
