Time (EDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,73.0 °F,  -,66.9 °F,81%,29.97 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,72.0 °F,  -,68.0 °F,87%,29.97 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,71.1 °F,  -,66.9 °F,87%,29.96 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:52 AM,70.0 °F,  -,66.9 °F,90%,29.94 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Clear
4:52 AM,69.1 °F,  -,66.0 °F,90%,29.94 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
5:52 AM,68.0 °F,  -,64.9 °F,90%,29.94 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,68.0 °F,  -,64.0 °F,87%,29.96 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,66.9 °F,  -,64.0 °F,90%,29.96 in,9.0 mi,NNW,6.9 mph,  -,N/A,	 ,Clear
8:52 AM,69.1 °F,  -,63.0 °F,81%,29.97 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
9:52 AM,73.9 °F,  -,62.1 °F,66%,29.97 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,77.0 °F,  -,62.1 °F,60%,29.96 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
11:52 AM,79.0 °F,  -,62.1 °F,56%,29.94 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,82.0 °F,83.1 °F,63.0 °F,52%,29.94 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,82.4 °F,83.4 °F,62.6 °F,51%,29.95 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,82.9 °F,83.7 °F,62.1 °F,49%,29.90 in,10.0 mi,WNW,12.7 mph,17.3 mph,N/A,	 ,Scattered Clouds
3:52 PM,86.0 °F,86.1 °F,61.0 °F,43%,29.88 in,10.0 mi,NW,12.7 mph,16.1 mph,N/A,	 ,Scattered Clouds
4:52 PM,84.9 °F,84.8 °F,60.1 °F,43%,29.88 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,84.0 °F,83.8 °F,59.0 °F,43%,29.87 in,10.0 mi,NNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,80.1 °F,80.7 °F,59.0 °F,48%,29.88 in,10.0 mi,NNW,12.7 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,77.0 °F,  -,55.9 °F,48%,29.90 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,75.0 °F,  -,57.0 °F,53%,29.91 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,73.0 °F,  -,57.9 °F,59%,29.93 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,72.0 °F,  -,55.0 °F,55%,29.93 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,71.1 °F,  -,55.9 °F,59%,29.94 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Scattered Clouds
