Time (EDT),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,46.9 °F,  -,37.0 °F,68%,30.39 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
1:52 AM,46.0 °F,43.1 °F,37.0 °F,71%,30.39 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
2:52 AM,46.0 °F,42.5 °F,37.0 °F,71%,30.40 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
3:52 AM,45.0 °F,42.6 °F,37.0 °F,74%,30.39 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Clear
4:52 AM,43.0 °F,38.8 °F,36.0 °F,76%,30.39 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
5:52 AM,44.1 °F,40.1 °F,36.0 °F,73%,30.40 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
6:52 AM,43.0 °F,38.8 °F,36.0 °F,76%,30.41 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
7:52 AM,44.1 °F,40.8 °F,36.0 °F,73%,30.42 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Clear
8:52 AM,46.9 °F,  -,37.9 °F,71%,30.43 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
9:52 AM,51.1 °F,  -,39.0 °F,63%,30.43 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Clear
10:52 AM,57.9 °F,  -,37.0 °F,46%,30.43 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,61.0 °F,  -,37.9 °F,42%,30.41 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Clear
12:52 PM,64.0 °F,  -,39.9 °F,41%,30.39 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,64.9 °F,  -,43.0 °F,45%,30.36 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,69.1 °F,  -,43.0 °F,39%,30.32 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,70.0 °F,  -,45.0 °F,41%,30.30 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
4:52 PM,69.1 °F,  -,44.1 °F,40%,30.30 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:52 PM,68.0 °F,  -,44.1 °F,42%,30.30 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:52 PM,66.0 °F,  -,44.1 °F,45%,30.30 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,64.0 °F,  -,45.0 °F,50%,30.31 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,62.1 °F,  -,45.0 °F,53%,30.31 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,59.0 °F,  -,44.1 °F,58%,30.32 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,55.9 °F,  -,44.1 °F,64%,30.32 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:52 PM,55.9 °F,  -,44.1 °F,64%,30.33 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
