Time (EDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,55.0 °F,51.1 °F,86%,29.97 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
1:52 AM,54.0 °F,48.0 °F,80%,29.96 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
2:52 AM,52.0 °F,46.9 °F,83%,29.98 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
3:52 AM,52.0 °F,46.9 °F,83%,29.99 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
4:52 AM,51.1 °F,45.0 °F,80%,29.99 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
5:52 AM,50.0 °F,45.0 °F,83%,30.01 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
6:52 AM,50.0 °F,45.0 °F,83%,30.03 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
7:52 AM,48.0 °F,43.0 °F,83%,30.05 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
8:52 AM,51.1 °F,44.1 °F,77%,30.06 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
9:52 AM,54.0 °F,45.0 °F,72%,30.08 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
10:52 AM,57.9 °F,44.1 °F,60%,30.09 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Clear
11:52 AM,62.1 °F,41.0 °F,46%,30.09 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Clear
12:52 PM,64.9 °F,39.0 °F,39%,30.09 in,10.0 mi,WNW,10.4 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,68.0 °F,39.0 °F,35%,30.06 in,10.0 mi,WNW,12.7 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,70.0 °F,37.9 °F,31%,30.04 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,69.1 °F,37.9 °F,32%,30.02 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,68.0 °F,39.9 °F,36%,30.03 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,64.0 °F,39.9 °F,41%,30.03 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,61.0 °F,41.0 °F,48%,30.03 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,57.9 °F,42.1 °F,56%,30.05 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,57.9 °F,43.0 °F,58%,30.06 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,57.0 °F,43.0 °F,59%,30.07 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,57.9 °F,42.1 °F,56%,30.06 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,57.9 °F,41.0 °F,53%,30.07 in,10.0 mi,NNE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
