Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,45.0 °F,41.2 °F,34.0 °F,65%,30.33 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,46.0 °F,43.9 °F,34.0 °F,63%,30.34 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,45.0 °F,41.2 °F,34.0 °F,65%,30.33 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,45.0 °F,42.6 °F,33.1 °F,63%,30.31 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,43.0 °F,38.8 °F,34.0 °F,71%,30.31 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,45.0 °F,40.6 °F,33.1 °F,63%,30.32 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,43.0 °F,38.2 °F,34.0 °F,71%,30.32 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,46.0 °F,41.9 °F,34.0 °F,63%,30.34 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,48.9 °F,  -,34.0 °F,56%,30.35 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,52.0 °F,  -,35.1 °F,53%,30.34 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,57.9 °F,  -,37.9 °F,47%,30.33 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,63.0 °F,  -,44.1 °F,50%,30.31 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:10 PM,62.1 °F,  -,45.0 °F,53%,30.30 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
12:52 PM,63.0 °F,  -,46.9 °F,56%,30.28 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,64.9 °F,  -,48.9 °F,56%,30.25 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,66.9 °F,  -,51.1 °F,57%,30.22 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,66.0 °F,  -,51.1 °F,59%,30.22 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,64.9 °F,  -,51.1 °F,61%,30.22 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,61.0 °F,  -,50.0 °F,67%,30.22 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,59.0 °F,  -,50.0 °F,72%,30.22 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
7:52 PM,57.9 °F,  -,48.9 °F,72%,30.23 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Mostly Cloudy
8:52 PM,57.0 °F,  -,48.0 °F,72%,30.24 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,55.0 °F,  -,46.9 °F,74%,30.23 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,54.0 °F,  -,46.9 °F,77%,30.22 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,55.0 °F,  -,46.9 °F,74%,30.21 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Scattered Clouds
