Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,63.0 °F,54.0 °F,72%,30.08 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Overcast
1:52 AM,64.0 °F,54.0 °F,70%,30.08 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Overcast
2:52 AM,63.0 °F,54.0 °F,72%,30.06 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
3:52 AM,62.1 °F,54.0 °F,75%,30.04 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,62.1 °F,54.0 °F,75%,30.05 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Overcast
5:52 AM,61.0 °F,54.0 °F,78%,30.07 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,61.0 °F,54.0 °F,78%,30.08 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
7:52 AM,61.0 °F,54.0 °F,78%,30.09 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,62.1 °F,55.0 °F,78%,30.11 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Overcast
9:52 AM,63.0 °F,55.9 °F,78%,30.13 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
10:52 AM,66.0 °F,57.9 °F,75%,30.12 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Overcast
11:52 AM,69.1 °F,57.9 °F,68%,30.12 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Overcast
12:52 PM,69.1 °F,57.0 °F,65%,30.09 in,10.0 mi,SW,13.8 mph,  -,N/A,	 ,Overcast
1:52 PM,71.1 °F,57.0 °F,61%,30.06 in,10.0 mi,SSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,71.1 °F,57.0 °F,61%,30.05 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,71.1 °F,57.0 °F,61%,30.05 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:52 PM,71.1 °F,57.0 °F,61%,30.06 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:52 PM,69.1 °F,57.0 °F,65%,30.06 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,66.9 °F,57.9 °F,73%,30.08 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Overcast
7:52 PM,66.0 °F,57.9 °F,75%,30.08 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Overcast
8:52 PM,64.0 °F,57.0 °F,78%,30.08 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Overcast
9:52 PM,63.0 °F,57.0 °F,81%,30.08 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Overcast
10:52 PM,62.1 °F,57.0 °F,84%,30.07 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
11:52 PM,63.0 °F,57.0 °F,81%,30.06 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Overcast
