Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,54.0 °F,46.0 °F,75%,29.87 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
1:52 AM,51.1 °F,45.0 °F,80%,29.86 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Clear
2:52 AM,50.0 °F,44.1 °F,80%,29.88 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
3:52 AM,51.1 °F,45.0 °F,80%,29.88 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
4:52 AM,50.0 °F,45.0 °F,83%,29.88 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Clear
5:52 AM,48.9 °F,44.1 °F,83%,29.89 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
6:52 AM,48.0 °F,44.1 °F,86%,29.90 in,10.0 mi,NW,8.1 mph,  -,N/A,	 ,Clear
7:52 AM,48.0 °F,44.1 °F,86%,29.92 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Clear
8:52 AM,53.1 °F,46.0 °F,77%,29.93 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Clear
9:52 AM,57.0 °F,46.0 °F,67%,29.94 in,10.0 mi,North,10.4 mph,  -,N/A,	 ,Clear
10:52 AM,61.0 °F,46.0 °F,58%,29.94 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Clear
11:52 AM,64.9 °F,46.9 °F,52%,29.93 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Clear
12:52 PM,68.0 °F,46.9 °F,47%,29.91 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
1:52 PM,70.0 °F,46.9 °F,44%,29.89 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Clear
2:52 PM,72.0 °F,48.0 °F,43%,29.88 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Clear
3:52 PM,71.1 °F,46.9 °F,42%,29.89 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
4:52 PM,68.0 °F,46.9 °F,47%,29.90 in,10.0 mi,WNW,5.8 mph,  -,N/A,	 ,Clear
5:52 PM,66.0 °F,46.0 °F,48%,29.90 in,10.0 mi,WNW,3.5 mph,  -,N/A,	 ,Clear
6:52 PM,63.0 °F,46.0 °F,54%,29.90 in,10.0 mi,NNW,4.6 mph,  -,N/A,	 ,Clear
7:52 PM,59.0 °F,46.9 °F,64%,29.91 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Clear
8:52 PM,55.0 °F,46.9 °F,74%,29.92 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
9:52 PM,54.0 °F,46.0 °F,75%,29.94 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Clear
10:52 PM,55.0 °F,46.0 °F,72%,29.94 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
11:52 PM,51.1 °F,45.0 °F,80%,29.94 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
